char,dialog,movie,corpus_dialog
MERRY,good definitely shire longbottom leaf eh,THE RETURN OF THE KING,"Counter({'good': 1, 'definitely': 1, 'shire': 1, 'longbottom': 1, 'leaf': 1, 'eh': 1})"
PIPPIN,uhh huh feel like im back green dragon,THE RETURN OF THE KING,"Counter({'uhh': 1, 'huh': 1, 'feel': 1, 'like': 1, 'im': 1, 'back': 1, 'green': 1, 'dragon': 1})"
MERRY,mmmm green dragon,THE RETURN OF THE KING,"Counter({'mmmm': 1, 'green': 1, 'dragon': 1})"
PIPPIN,mug ale hand putting feet settle hard days work,THE RETURN OF THE KING,"Counter({'mug': 1, 'ale': 1, 'hand': 1, 'putting': 1, 'feet': 1, 'settle': 1, 'hard': 1, 'days': 1, 'work': 1})"
MERRY,youve never done hard days work,THE RETURN OF THE KING,"Counter({'youve': 1, 'never': 1, 'done': 1, 'hard': 1, 'days': 1, 'work': 1})"
MERRY,welcome lords isengard,THE RETURN OF THE KING,"Counter({'welcome': 1, 'lords': 1, 'isengard': 1})"
GIMLI,young rascals merry hunt youve led us find feastin,THE RETURN OF THE KING,"Counter({'young': 1, 'rascals': 1, 'merry': 1, 'hunt': 1, 'youve': 1, 'led': 1, 'us': 1, 'find': 1, 'feastin': 1})"
FRODO,pick threads old life go heart begin understand go,THE RETURN OF THE KING,"Counter({'go': 2, 'pick': 1, 'threads': 1, 'old': 1, 'life': 1, 'heart': 1, 'begin': 1, 'understand': 1})"
SAM,mr frodo,THE RETURN OF THE KING,"Counter({'mr': 1, 'frodo': 1})"
FRODO,four years day since weathertop sam never really h,THE RETURN OF THE KING,"Counter({'four': 1, 'years': 1, 'day': 1, 'since': 1, 'weathertop': 1, 'sam': 1, 'never': 1, 'really': 1, 'h': 1})"
SAM,back hobbits tale bilbo baggins lord rings frodo b,THE RETURN OF THE KING,"Counter({'back': 1, 'hobbits': 1, 'tale': 1, 'bilbo': 1, 'baggins': 1, 'lord': 1, 'rings': 1, 'frodo': 1, 'b': 1})"
FRODO,quite theres room little,THE RETURN OF THE KING,"Counter({'quite': 1, 'theres': 1, 'room': 1, 'little': 1})"
FRODO,bilbo told part tale would end us must come go tel,THE RETURN OF THE KING,"Counter({'bilbo': 1, 'told': 1, 'part': 1, 'tale': 1, 'would': 1, 'end': 1, 'us': 1, 'must': 1, 'come': 1, 'go': 1, 'tel': 1})"
FRODO,harbour bilbo elves accorded special honour place ,THE RETURN OF THE KING,"Counter({'harbour': 1, 'bilbo': 1, 'elves': 1, 'accorded': 1, 'special': 1, 'honour': 1, 'place': 1})"
PIPPIN,sitting field victory enjoying well earned comfort,THE RETURN OF THE KING,"Counter({'sitting': 1, 'field': 1, 'victory': 1, 'enjoying': 1, 'well': 1, 'earned': 1, 'comfort': 1})"
GIMLI,salted pork,THE RETURN OF THE KING,"Counter({'salted': 1, 'pork': 1})"
GANDALF,hobbits,THE RETURN OF THE KING,Counter({'hobbits': 1})
MERRY,orders treebeard whos taken management isengard,THE RETURN OF THE KING,"Counter({'orders': 1, 'treebeard': 1, 'whos': 1, 'taken': 1, 'management': 1, 'isengard': 1})"
GANDALF,careful even defeat saruman dangerous,THE RETURN OF THE KING,"Counter({'careful': 1, 'even': 1, 'defeat': 1, 'saruman': 1, 'dangerous': 1})"
GIMLI,well lets head done,THE RETURN OF THE KING,"Counter({'well': 1, 'lets': 1, 'head': 1, 'done': 1})"
GANDALF,need alive need talk,THE RETURN OF THE KING,"Counter({'need': 2, 'alive': 1, 'talk': 1})"
THEODEN,shall peace shall peace answer burning westfold ch,THE RETURN OF THE KING,"Counter({'shall': 2, 'peace': 2, 'answer': 1, 'burning': 1, 'westfold': 1, 'ch': 1})"
GANDALF,treachery already cost many lives thousands risk c,THE RETURN OF THE KING,"Counter({'treachery': 1, 'already': 1, 'cost': 1, 'many': 1, 'lives': 1, 'thousands': 1, 'risk': 1, 'c': 1})"
FRODO,im sorry uncle im afraid lost,THE RETURN OF THE KING,"Counter({'im': 2, 'sorry': 1, 'uncle': 1, 'afraid': 1, 'lost': 1})"
GANDALF,farewell brave hobbits work finished last shores s,THE RETURN OF THE KING,"Counter({'farewell': 1, 'brave': 1, 'hobbits': 1, 'work': 1, 'finished': 1, 'last': 1, 'shores': 1, 's': 1})"
FRODO,set save shire sam saved,THE RETURN OF THE KING,"Counter({'set': 1, 'save': 1, 'shire': 1, 'sam': 1, 'saved': 1})"
SAM,dont mean cant leave,THE RETURN OF THE KING,"Counter({'dont': 1, 'mean': 1, 'cant': 1, 'leave': 1})"
FRODO,last pages sam,THE RETURN OF THE KING,"Counter({'last': 1, 'pages': 1, 'sam': 1})"
GIMLI,ive heard enough shoot stick arrow gob,THE RETURN OF THE KING,"Counter({'ive': 1, 'heard': 1, 'enough': 1, 'shoot': 1, 'stick': 1, 'arrow': 1, 'gob': 1})"
GANDALF,come saruman life spared,THE RETURN OF THE KING,"Counter({'come': 1, 'saruman': 1, 'life': 1, 'spared': 1})"
GANDALF,saruman staff broken,THE RETURN OF THE KING,"Counter({'saruman': 1, 'staff': 1, 'broken': 1})"
THEODEN,grima need follow always man rohan come,THE RETURN OF THE KING,"Counter({'grima': 1, 'need': 1, 'follow': 1, 'always': 1, 'man': 1, 'rohan': 1, 'come': 1})"
THEODEN,grima come free,THE RETURN OF THE KING,"Counter({'grima': 1, 'come': 1, 'free': 1})"
FRODO,dear sam cannot always torn two one whole many yea,THE RETURN OF THE KING,"Counter({'dear': 1, 'sam': 1, 'cannot': 1, 'always': 1, 'torn': 1, 'two': 1, 'one': 1, 'whole': 1, 'many': 1, 'yea': 1})"
SAM,well im back,THE RETURN OF THE KING,"Counter({'well': 1, 'im': 1, 'back': 1})"
PIPPIN,didnt think would end way,THE RETURN OF THE KING,"Counter({'didnt': 1, 'think': 1, 'would': 1, 'end': 1, 'way': 1})"
GANDALF,end journey doesnt end death another path one must,THE RETURN OF THE KING,"Counter({'end': 2, 'journey': 1, 'doesnt': 1, 'death': 1, 'another': 1, 'path': 1, 'one': 1, 'must': 1})"
PIPPIN,gandalf see,THE RETURN OF THE KING,"Counter({'gandalf': 1, 'see': 1})"
GANDALF,white shores beyond far green country swift sunris,THE RETURN OF THE KING,"Counter({'white': 1, 'shores': 1, 'beyond': 1, 'far': 1, 'green': 1, 'country': 1, 'swift': 1, 'sunris': 1})"
PIPPIN,well thats bad,THE RETURN OF THE KING,"Counter({'well': 1, 'thats': 1, 'bad': 1})"
THEODEN,rally meeee,THE RETURN OF THE KING,"Counter({'rally': 1, 'meeee': 1})"
FARAMIR,damp first spring rain,THE RETURN OF THE KING,"Counter({'damp': 1, 'first': 1, 'spring': 1, 'rain': 1})"
FARAMIR,believe darkness endure,THE RETURN OF THE KING,"Counter({'believe': 1, 'darkness': 1, 'endure': 1})"
SAM,look orcs theyre moving,THE RETURN OF THE KING,"Counter({'look': 1, 'orcs': 1, 'theyre': 1, 'moving': 1})"
GANDALF,saruman deep enemys counsel tell us know,THE RETURN OF THE KING,"Counter({'saruman': 1, 'deep': 1, 'enemys': 1, 'counsel': 1, 'tell': 1, 'us': 1, 'know': 1})"
GANDALF,send word allies every corner middle earth still s,THE RETURN OF THE KING,"Counter({'send': 1, 'word': 1, 'allies': 1, 'every': 1, 'corner': 1, 'middle': 1, 'earth': 1, 'still': 1, 's': 1})"
ARAGORN,pippin,THE RETURN OF THE KING,Counter({'pippin': 1})
GANDALF,peregrin took ill take lad quickly,THE RETURN OF THE KING,"Counter({'peregrin': 1, 'took': 1, 'ill': 1, 'take': 1, 'lad': 1, 'quickly': 1})"
GIMLI,theres plenty us may best dwarf win,THE RETURN OF THE KING,"Counter({'theres': 1, 'plenty': 1, 'us': 1, 'may': 1, 'best': 1, 'dwarf': 1, 'win': 1})"
SAM,see mr frodo luck last,THE RETURN OF THE KING,"Counter({'see': 1, 'mr': 1, 'frodo': 1, 'luck': 1, 'last': 1})"
FRODO,sam help,THE RETURN OF THE KING,"Counter({'sam': 1, 'help': 1})"
SAM,mr frodo,THE RETURN OF THE KING,"Counter({'mr': 1, 'frodo': 1})"
SAM,stand mr frodo stand,THE RETURN OF THE KING,"Counter({'stand': 2, 'mr': 1, 'frodo': 1})"
FRODO,hit hit sam start fighting,THE RETURN OF THE KING,"Counter({'hit': 2, 'sam': 1, 'start': 1, 'fighting': 1})"
SAM,get nobody pushes filthy maggot get,THE RETURN OF THE KING,"Counter({'get': 2, 'nobody': 1, 'pushes': 1, 'filthy': 1, 'maggot': 1})"
GANDALF,retreat city breached fall back second level get w,THE RETURN OF THE KING,"Counter({'retreat': 1, 'city': 1, 'breached': 1, 'fall': 1, 'back': 1, 'second': 1, 'level': 1, 'get': 1, 'w': 1})"
FRODO,go sam,THE RETURN OF THE KING,"Counter({'go': 1, 'sam': 1})"
FRODO,cant cant cant manage ring sam weight carry weight,THE RETURN OF THE KING,"Counter({'cant': 3, 'weight': 2, 'manage': 1, 'ring': 1, 'sam': 1, 'carry': 1})"
GANDALF,fight fight last man fight lives,THE RETURN OF THE KING,"Counter({'fight': 3, 'last': 1, 'man': 1, 'lives': 1})"
PIPPIN,gandalf gandalf denethor lost mind hes burning far,THE RETURN OF THE KING,"Counter({'gandalf': 2, 'denethor': 1, 'lost': 1, 'mind': 1, 'hes': 1, 'burning': 1, 'far': 1})"
GANDALF,quickly,THE RETURN OF THE KING,Counter({'quickly': 1})
GANDALF,go back abyss fall nothingness awaits master,THE RETURN OF THE KING,"Counter({'go': 1, 'back': 1, 'abyss': 1, 'fall': 1, 'nothingness': 1, 'awaits': 1, 'master': 1})"
PIPPIN,gandalf,THE RETURN OF THE KING,Counter({'gandalf': 1})
PIPPIN,aaaahhh,THE RETURN OF THE KING,Counter({'aaaahhh': 1})
SAM,going way straight theres point carrying anything ,THE RETURN OF THE KING,"Counter({'going': 1, 'way': 1, 'straight': 1, 'theres': 1, 'point': 1, 'carrying': 1, 'anything': 1})"
SAM,mr frodo look light beauty shadow touch,THE RETURN OF THE KING,"Counter({'mr': 1, 'frodo': 1, 'look': 1, 'light': 1, 'beauty': 1, 'shadow': 1, 'touch': 1})"
SAM,take mine theres drops left,THE RETURN OF THE KING,"Counter({'take': 1, 'mine': 1, 'theres': 1, 'drops': 1, 'left': 1})"
FRODO,none left return journey,THE RETURN OF THE KING,"Counter({'none': 1, 'left': 1, 'return': 1, 'journey': 1})"
SAM,dont think return journey mr frodo,THE RETURN OF THE KING,"Counter({'dont': 1, 'think': 1, 'return': 1, 'journey': 1, 'mr': 1, 'frodo': 1})"
SAM,frodo get hide,THE RETURN OF THE KING,"Counter({'frodo': 1, 'get': 1, 'hide': 1})"
ARAGORN,let lord black land come forth let justice done up,THE RETURN OF THE KING,"Counter({'let': 2, 'lord': 1, 'black': 1, 'land': 1, 'come': 1, 'forth': 1, 'justice': 1, 'done': 1, 'up': 1})"
GANDALF,come treat sauron faithless accursed tell master a,THE RETURN OF THE KING,"Counter({'come': 1, 'treat': 1, 'sauron': 1, 'faithless': 1, 'accursed': 1, 'tell': 1, 'master': 1, 'a': 1})"
THEODEN,eomer take eored left flank,THE RETURN OF THE KING,"Counter({'eomer': 1, 'take': 1, 'eored': 1, 'left': 1, 'flank': 1})"
THEODEN,gamling follow kings banner centre grimbold take c,THE RETURN OF THE KING,"Counter({'gamling': 1, 'follow': 1, 'kings': 1, 'banner': 1, 'centre': 1, 'grimbold': 1, 'take': 1, 'c': 1})"
THEODEN,ride ride ride ride ruin worlds ending death,THE RETURN OF THE KING,"Counter({'ride': 4, 'ruin': 1, 'worlds': 1, 'ending': 1, 'death': 1})"
GANDALF,silence,THE RETURN OF THE KING,Counter({'silence': 1})
GANDALF,silence,THE RETURN OF THE KING,Counter({'silence': 1})
ARAGORN,may go,THE RETURN OF THE KING,"Counter({'may': 1, 'go': 1})"
ARAGORN,enter gondor,THE RETURN OF THE KING,"Counter({'enter': 1, 'gondor': 1})"
ARAGORN,legolas fire warning shot past bosons ear,THE RETURN OF THE KING,"Counter({'legolas': 1, 'fire': 1, 'warning': 1, 'shot': 1, 'past': 1, 'bosons': 1, 'ear': 1})"
GIMLI,mind aim,THE RETURN OF THE KING,"Counter({'mind': 1, 'aim': 1})"
GIMLI,oh thats right warned prepare boarded,THE RETURN OF THE KING,"Counter({'oh': 1, 'thats': 1, 'right': 1, 'warned': 1, 'prepare': 1, 'boarded': 1})"
THEODEN,forth eorlingas,THE RETURN OF THE KING,"Counter({'forth': 1, 'eorlingas': 1})"
MERRY,deeeeaaath,THE RETURN OF THE KING,Counter({'deeeeaaath': 1})
THEODEN,chaaaaarge,THE RETURN OF THE KING,Counter({'chaaaaarge': 1})
GANDALF,stay madness,THE RETURN OF THE KING,"Counter({'stay': 1, 'madness': 1})"
PIPPIN,aaahhh,THE RETURN OF THE KING,Counter({'aaahhh': 1})
GANDALF,passes denethor son ecthelion,THE RETURN OF THE KING,"Counter({'passes': 1, 'denethor': 1, 'son': 1, 'ecthelion': 1})"
GIMLI,guess concludes negotiations,THE RETURN OF THE KING,"Counter({'guess': 1, 'concludes': 1, 'negotiations': 1})"
ARAGORN,believe,THE RETURN OF THE KING,Counter({'believe': 1})
GOLLUM,master must go inside tunnel,THE RETURN OF THE KING,"Counter({'master': 1, 'must': 1, 'go': 1, 'inside': 1, 'tunnel': 1})"
FRODO,im dont think want,THE RETURN OF THE KING,"Counter({'im': 1, 'dont': 1, 'think': 1, 'want': 1})"
GOLLUM,way go go back,THE RETURN OF THE KING,"Counter({'go': 2, 'way': 1, 'back': 1})"
FRODO,cant go back,THE RETURN OF THE KING,"Counter({'cant': 1, 'go': 1, 'back': 1})"
FRODO,whats smell,THE RETURN OF THE KING,"Counter({'whats': 1, 'smell': 1})"
GOLLUM,orcses filth orcses come sometimes,THE RETURN OF THE KING,"Counter({'orcses': 2, 'filth': 1, 'come': 1, 'sometimes': 1})"
GOLLUM,hurry way,THE RETURN OF THE KING,"Counter({'hurry': 1, 'way': 1})"
FRODO,smeagol,THE RETURN OF THE KING,Counter({'smeagol': 1})
FRODO,ah aah sticky,THE RETURN OF THE KING,"Counter({'ah': 1, 'aah': 1, 'sticky': 1})"
GOLLUM,youll see oh yes see,THE RETURN OF THE KING,"Counter({'see': 2, 'youll': 1, 'oh': 1, 'yes': 1})"
THEODEN,make safe city,THE RETURN OF THE KING,"Counter({'make': 1, 'safe': 1, 'city': 1})"
THEODEN,reform line reform line,THE RETURN OF THE KING,"Counter({'reform': 2, 'line': 2})"
THEODEN,sound charge take headon chaaarge,THE RETURN OF THE KING,"Counter({'sound': 1, 'charge': 1, 'take': 1, 'headon': 1, 'chaaarge': 1})"
THEODEN,bring bring bring,THE RETURN OF THE KING,Counter({'bring': 3})
FRODO,smeagol shouts smeagol smeagol,THE RETURN OF THE KING,"Counter({'smeagol': 3, 'shouts': 1})"
FRODO,aiya erendil elenion ancalim,THE RETURN OF THE KING,"Counter({'aiya': 1, 'erendil': 1, 'elenion': 1, 'ancalim': 1})"
GOLLUM,naughty little fly cry caught web soon youll eaten,THE RETURN OF THE KING,"Counter({'naughty': 1, 'little': 1, 'fly': 1, 'cry': 1, 'caught': 1, 'web': 1, 'soon': 1, 'youll': 1, 'eaten': 1})"
GOLLUM,got away precious time time,THE RETURN OF THE KING,"Counter({'time': 2, 'got': 1, 'away': 1, 'precious': 1})"
FRODO,destroy smeagol destroy sakes,THE RETURN OF THE KING,"Counter({'destroy': 2, 'smeagol': 1, 'sakes': 1})"
GOLLUM,aaaaaaaaa,THE RETURN OF THE KING,Counter({'aaaaaaaaa': 1})
FRODO,im sorry sam im sorry,THE RETURN OF THE KING,"Counter({'im': 2, 'sorry': 2, 'sam': 1})"
GIMLI,kind army would linger place,THE RETURN OF THE KING,"Counter({'kind': 1, 'army': 1, 'would': 1, 'linger': 1, 'place': 1})"
GIMLI,warmth blood seems stolen away,THE RETURN OF THE KING,"Counter({'warmth': 1, 'blood': 1, 'seems': 1, 'stolen': 1, 'away': 1})"
ARAGORN,fear death,THE RETURN OF THE KING,"Counter({'fear': 1, 'death': 1})"
THEODEN,time us make ready,THE RETURN OF THE KING,"Counter({'time': 1, 'us': 1, 'make': 1, 'ready': 1})"
MERRY,lady fair brave much live many love know late turn,THE RETURN OF THE KING,"Counter({'lady': 1, 'fair': 1, 'brave': 1, 'much': 1, 'live': 1, 'many': 1, 'love': 1, 'know': 1, 'late': 1, 'turn': 1})"
THEODEN,make haste ride night,THE RETURN OF THE KING,"Counter({'make': 1, 'haste': 1, 'ride': 1, 'night': 1})"
MERRY,battle,THE RETURN OF THE KING,Counter({'battle': 1})
GANDALF,back gate hurry,THE RETURN OF THE KING,"Counter({'back': 1, 'gate': 1, 'hurry': 1})"
GIMLI,well thing unheard elf go underground dwarf dare o,THE RETURN OF THE KING,"Counter({'well': 1, 'thing': 1, 'unheard': 1, 'elf': 1, 'go': 1, 'underground': 1, 'dwarf': 1, 'dare': 1, 'o': 1})"
THEODEN,must ride light swift long road ahead man beast mu,THE RETURN OF THE KING,"Counter({'must': 1, 'ride': 1, 'light': 1, 'swift': 1, 'long': 1, 'road': 1, 'ahead': 1, 'man': 1, 'beast': 1, 'mu': 1})"
THEODEN,little hobbits belong war master meriadoc,THE RETURN OF THE KING,"Counter({'little': 1, 'hobbits': 1, 'belong': 1, 'war': 1, 'master': 1, 'meriadoc': 1})"
MERRY,friends gone battle would ashamed left behind,THE RETURN OF THE KING,"Counter({'friends': 1, 'gone': 1, 'battle': 1, 'would': 1, 'ashamed': 1, 'left': 1, 'behind': 1})"
THEODEN,threeday gallop minas tirith none riders bear burd,THE RETURN OF THE KING,"Counter({'threeday': 1, 'gallop': 1, 'minas': 1, 'tirith': 1, 'none': 1, 'riders': 1, 'bear': 1, 'burd': 1})"
MERRY,want fight,THE RETURN OF THE KING,"Counter({'want': 1, 'fight': 1})"
THEODEN,ride ride gondor,THE RETURN OF THE KING,"Counter({'ride': 2, 'gondor': 1})"
GIMLI,dead summoned knew huh huh good good legolas,THE RETURN OF THE KING,"Counter({'huh': 2, 'good': 2, 'dead': 1, 'summoned': 1, 'knew': 1, 'legolas': 1})"
ARAGORN,one allegiance,THE RETURN OF THE KING,"Counter({'one': 1, 'allegiance': 1})"
ARAGORN,suffer,THE RETURN OF THE KING,Counter({'suffer': 1})
ARAGORN,summon fulfil oath,THE RETURN OF THE KING,"Counter({'summon': 1, 'fulfil': 1, 'oath': 1})"
ARAGORN,remade fight us regain honour say say,THE RETURN OF THE KING,"Counter({'say': 2, 'remade': 1, 'fight': 1, 'us': 1, 'regain': 1, 'honour': 1})"
GIMLI,ach waste time aragorn honour life none death,THE RETURN OF THE KING,"Counter({'ach': 1, 'waste': 1, 'time': 1, 'aragorn': 1, 'honour': 1, 'life': 1, 'none': 1, 'death': 1})"
ARAGORN,isildurs heir fight hold oaths fulfilled say,THE RETURN OF THE KING,"Counter({'isildurs': 1, 'heir': 1, 'fight': 1, 'hold': 1, 'oaths': 1, 'fulfilled': 1, 'say': 1})"
ARAGORN,word fight release living death say,THE RETURN OF THE KING,"Counter({'word': 1, 'fight': 1, 'release': 1, 'living': 1, 'death': 1, 'say': 1})"
GIMLI,stand traitors,THE RETURN OF THE KING,"Counter({'stand': 1, 'traitors': 1})"
ARAGORN,legolas run,THE RETURN OF THE KING,"Counter({'legolas': 1, 'run': 1})"
THEODEN,riders snowbourn,THE RETURN OF THE KING,"Counter({'riders': 1, 'snowbourn': 1})"
THEODEN,six thousand spears less half hoped,THE RETURN OF THE KING,"Counter({'six': 1, 'thousand': 1, 'spears': 1, 'less': 1, 'half': 1, 'hoped': 1})"
ARAGORN,six thousand enough break lines mordor,THE RETURN OF THE KING,"Counter({'six': 1, 'thousand': 1, 'enough': 1, 'break': 1, 'lines': 1, 'mordor': 1})"
ARAGORN,every hour lost hastens gondors defeat dawn must r,THE RETURN OF THE KING,"Counter({'every': 1, 'hour': 1, 'lost': 1, 'hastens': 1, 'gondors': 1, 'defeat': 1, 'dawn': 1, 'must': 1, 'r': 1})"
GIMLI,road lead,THE RETURN OF THE KING,"Counter({'road': 1, 'lead': 1})"
PIPPIN,hes alive,THE RETURN OF THE KING,"Counter({'hes': 1, 'alive': 1})"
PIPPIN,needs medicine lord,THE RETURN OF THE KING,"Counter({'needs': 1, 'medicine': 1, 'lord': 1})"
GANDALF,prepare battle hurry men wall defend wall return p,THE RETURN OF THE KING,"Counter({'wall': 2, 'prepare': 1, 'battle': 1, 'hurry': 1, 'men': 1, 'defend': 1, 'return': 1, 'p': 1})"
GANDALF,send foul beasts abyss,THE RETURN OF THE KING,"Counter({'send': 1, 'foul': 1, 'beasts': 1, 'abyss': 1})"
GIMLI,aragorn lets find food,THE RETURN OF THE KING,"Counter({'aragorn': 1, 'lets': 1, 'find': 1, 'food': 1})"
MERRY,im ready sorry isnt dangerous even sharp,THE RETURN OF THE KING,"Counter({'im': 1, 'ready': 1, 'sorry': 1, 'isnt': 1, 'dangerous': 1, 'even': 1, 'sharp': 1})"
GANDALF,hold back give fear stand posts fight,THE RETURN OF THE KING,"Counter({'hold': 1, 'back': 1, 'give': 1, 'fear': 1, 'stand': 1, 'posts': 1, 'fight': 1})"
GANDALF,towers aim trolls kill trolls,THE RETURN OF THE KING,"Counter({'trolls': 2, 'towers': 1, 'aim': 1, 'kill': 1})"
GANDALF,fight back peregrin took go back citadel,THE RETURN OF THE KING,"Counter({'back': 2, 'fight': 1, 'peregrin': 1, 'took': 1, 'go': 1, 'citadel': 1})"
PIPPIN,called us fight,THE RETURN OF THE KING,"Counter({'called': 1, 'us': 1, 'fight': 1})"
GANDALF,place hobbit,THE RETURN OF THE KING,"Counter({'place': 1, 'hobbit': 1})"
GANDALF,guard citadel indeed back hill quickly quick,THE RETURN OF THE KING,"Counter({'guard': 1, 'citadel': 1, 'indeed': 1, 'back': 1, 'hill': 1, 'quickly': 1, 'quick': 1})"
THEODEN,take leave,THE RETURN OF THE KING,"Counter({'take': 1, 'leave': 1})"
ARAGORN,lord elrond,THE RETURN OF THE KING,"Counter({'lord': 1, 'elrond': 1})"
ARAGORN,murderers traitors would call upon fight believe n,THE RETURN OF THE KING,"Counter({'murderers': 1, 'traitors': 1, 'would': 1, 'call': 1, 'upon': 1, 'fight': 1, 'believe': 1, 'n': 1})"
ARAGORN,sauron forgotten sword elendil,THE RETURN OF THE KING,"Counter({'sauron': 1, 'forgotten': 1, 'sword': 1, 'elendil': 1})"
ARAGORN,blade broken shall return minas tirith,THE RETURN OF THE KING,"Counter({'blade': 1, 'broken': 1, 'shall': 1, 'return': 1, 'minas': 1, 'tirith': 1})"
ARAGORN,chebin estel anim,THE RETURN OF THE KING,"Counter({'chebin': 1, 'estel': 1, 'anim': 1})"
PIPPIN,thinking peregrin took service hobbit offer great ,THE RETURN OF THE KING,"Counter({'thinking': 1, 'peregrin': 1, 'took': 1, 'service': 1, 'hobbit': 1, 'offer': 1, 'great': 1})"
FARAMIR,well done generous deed checked cold counsel join ,THE RETURN OF THE KING,"Counter({'well': 1, 'done': 1, 'generous': 1, 'deed': 1, 'checked': 1, 'cold': 1, 'counsel': 1, 'join': 1})"
PIPPIN,didnt think would find livery would fit,THE RETURN OF THE KING,"Counter({'would': 2, 'didnt': 1, 'think': 1, 'find': 1, 'livery': 1, 'fit': 1})"
FARAMIR,belonged young boy city foolish one wasted many ho,THE RETURN OF THE KING,"Counter({'belonged': 1, 'young': 1, 'boy': 1, 'city': 1, 'foolish': 1, 'one': 1, 'wasted': 1, 'many': 1, 'ho': 1})"
FARAMIR,yes mine father made,THE RETURN OF THE KING,"Counter({'yes': 1, 'mine': 1, 'father': 1, 'made': 1})"
ARAGORN,shadow thought love cannot give seek,THE RETURN OF THE KING,"Counter({'shadow': 1, 'thought': 1, 'love': 1, 'cannot': 1, 'give': 1, 'seek': 1})"
ARAGORN,wished joy since first saw,THE RETURN OF THE KING,"Counter({'wished': 1, 'joy': 1, 'since': 1, 'first': 1, 'saw': 1})"
GIMLI,think youre,THE RETURN OF THE KING,"Counter({'think': 1, 'youre': 1})"
ARAGORN,time time must stay gimli,THE RETURN OF THE KING,"Counter({'time': 2, 'must': 1, 'stay': 1, 'gimli': 1})"
GIMLI,might well accept going laddie aragorn smiles,THE RETURN OF THE KING,"Counter({'might': 1, 'well': 1, 'accept': 1, 'going': 1, 'laddie': 1, 'aragorn': 1, 'smiles': 1})"
THEODEN,leaves must,THE RETURN OF THE KING,"Counter({'leaves': 1, 'must': 1})"
