CHARACTER,SENTENCE,,,,,,
HARRY,I don't care.,,,,,,
HARRY,Anywhere is better than here.,,,,,,
STAN SHUNPIKE,Welcome to the Knight Bus...emergency transport for the stranded witch or wizard.,,,,,,
,,,,,,,
"	My name is Stan Shunpike",,,,,,,
STAN SHUNPIKE,What you doing down there?,,,,,,
HARRY,I fell over.,,,,,,
STAN SHUNPIKE,What you fall over for?,,,,,,
HARRY,I didn't do it on purpose.,,,,,,
STAN SHUNPIKE,Well, then.,,,,,
STAN SHUNPIKE,Let's not wait for the grass to grow.,,,,,,
STAN SHUNPIKE,What you looking at?,,,,,,
HARRY,Nothing.,,,,,,
STAN SHUNPIKE,Well, then. In.,,,,,
STAN SHUNPIKE,No, no. I'll get this.,,,,,
STAN SHUNPIKE,You get in.,,,,,,
STAN SHUNPIKE,Come on. Come on. Move on,,,,,,
STAN SHUNPIKE,Take her away,,,,,,
SHRUNKEN HEAD,Yeah, Ernie.,,,,,
SHRUNKEN HEAD,It's going to be a bumpy ride.,,,,,,
STAN SHUNPIKE,What did you say your name was?,,,,,,
HARRY,I didn't.,,,,,,
STAN SHUNPIKE,Where abouts are you headed?,,,,,,
HARRY,he Leaky Cauldron. That's in London.,,,,,,
STAN SHUNPIKE,"You hear that? ""The Leaky Cauldron. That's in London.""",,,,,,
SHRUNKEN HEAD,The Leaky Cauldron.,,,,,,
SHRUNKEN HEAD,If you have pea soup make sure you eat it before it eats you.,,,,,,
HARRY,But the Muggles. Can't they see us?,,,,,,
STAN SHUNPIKE,Muggles? They don't see nothing,,,,,,
STAN SHUNPIKE,No, they feel.,,,,,
SHRUNKEN HEAD,Ernie,,,,,,
SHRUNKEN HEAD,Ten, eight...seven, six, five...four, three, three and a half...two, one and three quarters.
SHRUNKEN HEAD,Yes!,,,,,,
HARRY,Who is that? That man.,,,,,,
STAN SHUNPIKE,Who is that? Who is...?,,,,,,
STAN SHUNPIKE,That is Sirius Black,,,,,,
STAN SHUNPIKE,Don't tell me you've never been hearing of Sirius Black.,,,,,,
STAN SHUNPIKE,He's a murderer.,,,,,,
STAN SHUNPIKE,Got himself locked up in Azkaban for it.,,,,,,
HARRY,How did he escape?,,,,,,
STAN SHUNPIKE,Well, isn't it?,,,,,
STAN SHUNPIKE,He's the first one that done it.,,,,,,
STAN SHUNPIKE,He was a big supporter of You-Know-Who.,,,,,,
STAN SHUNPIKE,I reckon you've heard of him.,,,,,,
HARRY,Yeah. Him I've heard of.,,,,,,
SHRUNKEN HEAD,Ernie,,,,,,
SHRUNKEN HEAD,They're getting closer,,,,,,
SHRUNKEN HEAD,Ernie,,,,,,
SHRUNKEN HEAD,Mind your head.,,,,,,
SHRUNKEN HEAD,Hey,,,,,,
SHRUNKEN HEAD,Why the long faces?,,,,,,
SHRUNKEN HEAD,Yeah,,,,,,
STAN SHUNPIKE,The Leaky Cauldron.,,,,,,
SHRUNKEN HEAD,Next stop,,,,,,
TOM,Mr. Potter,,,,,,
STAN SHUNPIKE,Take it away,,,,,,
SHRUNKEN HEAD,Yeah, Ernie!,,,,,
TOM,Room 11.,,,,,,
HARRY,Hedwig.,,,,,,
TOM,Right smart bird you got there,,,,,,
TOM,He arrived here just five minutes before yourself.,,,,,,
FUDGE,As Minister for Magic, Mr. Potter earlier this evening your uncle's sister was located a little south of Sheffield, circling a chimney stack.,,,,
FUDGE,The Accidental Magic Reversal Department was dispatched immediately.,,,,,,
FUDGE,She has been properly punctured and her memory modified.,,,,,,
FUDGE,She will have no recollection of the incident whatsoever.,,,,,,
FUDGE,So that's that and no harm done.,,,,,,
FUDGE,Pea soup?,,,,,,
HARRY,No,,,,,,
FUDGE,Yes?,,,,,,
HARRY,I don't understand.,,,,,,
FUDGE,Understand?,,,,,,
HARRY,I broke the law. Underage wizards can't use magic at home.,,,,,,
FUDGE,Come now Harry. The Ministry doesn't send people to Azkaban for blowing up their aunts.,,,,,,
FUDGE,On the other hand, given the state of things was very, very irresponsible.,,,,
HARRY,The state of things,,,,,,
FUDGE,We have a killer on the loose.,,,,,,
HARRY,Sirius Black,,,,,,
HARRY,But what's he got to do with me?,,,,,,
FUDGE,Nothing,,,,,,
FUDGE,And that's what matters.,,,,,,
FUDGE,And tomorrow you'll be on your way back to Hogwarts.,,,,,,
FUDGE,These are your new schoolbooks.,,,,,,
FUDGE,I took the liberty of having them brought here.,,,,,,
FUDGE,Now Tom will show you to your room.,,,,,,
HARRY,Hedwig.,,,,,,
FUDGE,Oh, Harry. Whilst you're here, it would be best if you didn't wander.,,,,
VENDOR,Right! You gonna move that bus or what?,,,,,,
HOUSEKEEPER,Housekeeping! I'll come back later.,,,,,,
RON,I'm warning you,,,,,,
RON,Keep that beast away from Scabbers,,,,,,
HERMIONE,It's a cat,,,,,,
HERMIONE,What do you expect?,,,,,,
HERMIONE,It's in his nature.,,,,,,
RON,A cat? Is that what they told you?,,,,,,
RON,Looks like a pig with hair.,,,,,,
HERMIONE,That's rich coming from the owner of that smelly old shoe brush.,,,,,,
HERMIONE,Crookshanks,,,,,,
RON,Harry.,,,,,,
HERMIONE,Harry.,,,,,,
HARRY,Egypt. What's it like?,,,,,,
RON,Brilliant. Loads of old stuff like mummies, even Scabbers enjoyed himself.,,,,,
HERMIONE,Egyptians used to worship cats.,,,,,,
RON,Along with the dung beetle.,,,,,,
GEORGE,Not flashing that clipping again?,,,,,,
RON,I haven't shown anyone.,,,,,,
GEORGE,No,,,,,,
FRED,Not unless you count Tom.,,,,,,
GEORGE,The day maid.,,,,,,
FRED,Night maid.,,,,,,
GEORGE,Cook.,,,,,,
FRED,The bloke who fixed the toilet.,,,,,,
MRS. WEASLEY,Harry.,,,,,,
HARRY,Mrs. Weasley.,,,,,,
MRS. WEASLEY,Good to see you,,,,,,
HARRY,Good to see you too.,,,,,,
MRS. WEASLEY,Got everything?,,,,,,
HARRY,Yes.,,,,,,
MRS. WEASLEY,Yes? All your books?,,,,,,
HARRY,It's all upstairs.,,,,,,
MRS. WEASLEY,All of your clothes?,,,,,,
HARRY,Everything.,,,,,,
MRS. WEASLEY,Good boy.,,,,,,
HARRY,Thank you.,,,,,,
MR. WEASLEY,Harry Potter.,,,,,,
HARRY,Mr. Weasley.,,,,,,
MR. WEASLEY,Harry,,,,,,
HARRY,Yeah,,,,,,
MR. WEASLEY,Hermione.,,,,,,
HERMIONE,Good morning,,,,,,
MR. WEASLEY,Looking forward to a new term?,,,,,,
HARRY,Yeah. It should be great.,,,,,,
MR. WEASLEY,Harry,,,,,,
MR. WEASLEY,But I think that you need to know the facts.,,,,,,
MR. WEASLEY,You are in danger.,,,,,,
MR. WEASLEY,Grave danger.,,,,,,
HARRY,Has this anything to do with Sirius Black,,,,,,
MR. WEASLEY,What do you know about Sirius Black,,,,,,
HARRY,Only that he's escaped from Azkaban.,,,,,,
MR. WEASLEY,Do you know why?,,,,,,
MR. WEASLEY,Thirteen years ago,,,,,,
HARRY,Voldemort.,,,,,,
MR. WEASLEY,Don't say his name.,,,,,,
HARRY,Sorry.,,,,,,
MR. WEASLEY,When you stopped You-Know-Who Black lost everything.,,,,,,
MR. WEASLEY,But to this day,,,,,,
MR. WEASLEY,And in his mind you are the only thing that stands in the way of You-Know-Who returning to power.,,,,,,
MR. WEASLEY,And that is why he has escaped from Azkaban.,,,,,,
MR. WEASLEY,To find you.,,,,,,
HARRY,And kill me.,,,,,,
MR. WEASLEY,Harry,,,,,,
HARRY,Mr. Weasley why would I go looking for someone who wants to kill me?,,,,,,
MRS. WEASLEY,Quick. Quick.,,,,,,
MRS. WEASLEY,Ron,,,,,,
MRS. WEASLEY,Oh,,,,,,
MRS. WEASLEY,Don't lose him!,,,,,,
HARRY,I didn't mean to blow her up. I just...I lost control.,,,,,,
RON,Brilliant.,,,,,,
HERMIONE,Honestly, it's not funny.,,,,,
HERMIONE,Harry was lucky not to be expelled.,,,,,,
HARRY,I was lucky not to be arrested actually.,,,,,,
RON,I still think it was brilliant.,,,,,,
HERMIONE,Come on. Everywhere else is full,,,,,,
RON,Who do you think that is?,,,,,,
HERMIONE,Professor R.J. Lupin.,,,,,,
RON,Do you know everything?,,,,,,
RON,How is it she knows everything?,,,,,,
HERMIONE,It's on his suitcase,,,,,,
RON,Oh.,,,,,,
HARRY,Do you think he's really asleep?,,,,,,
HERMIONE,Seems to be. Why?,,,,,,
HARRY,I gotta tell you something.,,,,,,
RON,Let me get this straight.,,,,,,
RON,Sirius Black escaped from Azkaban to come after you?,,,,,,
HARRY,Yeah.,,,,,,
HERMIONE,But they'll catch Black,,,,,,
HERMIONE,I mean,,,,,,
RON,Sure.,,,,,,
RON,Except no one's ever broken out of Azkaban before and he's a murderous,,,,,,
HARRY,Thanks,,,,,,
HERMIONE,Why are we stopping?,,,,,,
HERMIONE,We can't be there yet.,,,,,,
RON,What's going on?,,,,,,
HARRY,I don't know.,,,,,,
HARRY,Maybe we've broken down.,,,,,,
HERMIONE,Ouch,,,,,,
RON,There's something moving out there.,,,,,,
RON,I think someone's coming aboard.,,,,,,
RON,Bloody hell! What's happening?,,,,,,
HERMIONE,Harry.,,,,,,
HERMIONE,Harry,,,,,,
HARRY,Thank you.,,,,,,
LUPIN,Here,,,,,,
LUPIN,It's all right. It's chocolate.,,,,,,
HARRY,What was that thing that came?,,,,,,
LUPIN,It was a dementor. ,,,,,,
LUPIN,One of the guards of Azkaban. It's gone now.,,,,,,
LUPIN,It was searching the train for Sirius Black.,,,,,,
LUPIN,If you'll excuse me,,,,,,
LUPIN,Eat. You'll feel better.,,,,,,
HARRY,What happened to me?,,,,,,
RON,Well,,,,,,
RON,We thought maybe you were having a fit or something.,,,,,,
HARRY,And did either of you two you know pass out?,,,,,,
RON,No.,,,,,,
RON,I felt weird,,,,,,
RON,Like I'd never be cheerful again.,,,,,,
HARRY,But someone was screaming.,,,,,,
HARRY,A woman.,,,,,,
HERMIONE,No one was screaming,,,,,,
DUMBLEDORE,Welcome! Welcome to another year at Hogwarts.,,,,,,
DUMBLEDORE,Now,,,,,,
DUMBLEDORE,First,,,,,,
DUMBLEDORE,Good luck,,,,,,
HERMIONE,Of course. That's why he knew to give you the chocolate,,,,,,
DRACO,Potter. Is it true you fainted?,,,,,,
DRACO,I mean,,,,,,
RON,Shove off,,,,,,
HARRY,How did he find out?,,,,,,
HERMIONE,Just forget it.,,,,,,
DUMBLEDORE,Our Care of Magical Creatures teacher has decided to retire in order to spend more time with his remaining limbs.,,,,,,
DUMBLEDORE,Fortunately,,,,,,
DUMBLEDORE,Finally,,,,,,
DUMBLEDORE,Hogwarts will, play host to the dementors of Azkaban until such a time as Sirius Black is captured.,,,,,
DUMBLEDORE,The dementors will be stationed at every entrance to the grounds.,,,,,,
DUMBLEDORE,Now whilst I've been assured that their presence will not disrupt our day-to-day activities a word of caution.,,,,,,
DUMBLEDORE,Dementors are vicious creatures.,,,,,,
DUMBLEDORE,They'll not distinguish between the one they hunt and the one who gets in their way.,,,,,,
DUMBLEDORE,Therefore,,,,,,
DUMBLEDORE,It is not in the nature of a dementor to be forgiving.,,,,,,
DUMBLEDORE,But you know,,,,,,
SEAMUS,Fortuna Major.,,,,,,
SEAMUS,Here,,,,,,
SEAMUS,She just won't let me in.,,,,,,
HARRY,Fortuna Major.,,,,,,
FAT LADY,No, wait.,,,,,
FAT LADY,Watch this.,,,,,,
FAT LADY,Amazing. Just with my voice.,,,,,,
HARRY,Fortuna Major.,,,,,,
FAT LADY,Yes,,,,,,
HARRY,Thank you.,,,,,,
HARRY,Still doing that after three years.,,,,,,
HARRY,She can't even sing.,,,,,,
SEAMUS,Exactly.,,,,,,
HARRY,Hey,,,,,,
SEAMUS,Hey,,,,,,
DEAN,Oh,,,,,,
HERMIONE,That's awful.,,,,,,
RON,Green. That's a monkey.,,,,,,
RON,What is that?,,,,,,
DEAN,You call that a monkey?,,,,,,
RON,Do not give him one again.,,,,,,
RON,Hey, try an elephant.,,,,,
SEAMUS,Ron,,,,,,
RON,I will.,,,,,,
SEAMUS,I think we have a winner.,,,,,,
RON,Oh,,,,,,
SEAMUS,Oh,,,,,,
RON,Look at him. His face.,,,,,,
TRELAWNEY,Welcome,,,,,,
TRELAWNEY,In this room,,,,,,
TRELAWNEY,In this room,,,,,,
TRELAWNEY,Hello. I am Professor Trelawney.,,,,,,
TRELAWNEY,Together we shall cast ourselves into the future.,,,,,,
TRELAWNEY,This term, the art of reading tea leaves.,,,,,
TRELAWNEY,So please,,,,,,
TRELAWNEY,What do you see?,,,,,,
TRELAWNEY,The truth lies buried like a sentence deep within a book,,,,,,
TRELAWNEY,But first,,,,,,
TRELAWNEY,First,,,,,,
HERMIONE,What a load of rubbish.,,,,,,
RON,Where did you come from?,,,,,,
HERMIONE,Me?,,,,,,
HERMIONE,I've been here all this time.,,,,,,
TRELAWNEY,You,,,,,,
TRELAWNEY,Is your grandmother quite well?,,,,,,
NEVILLE,I think so.,,,,,,
TRELAWNEY,I wouldn't be so sure of that.,,,,,,
TRELAWNEY,Give me the cup.,,,,,,
TRELAWNEY,Pity.,,,,,,
TRELAWNEY,Broaden your minds.,,,,,,
TRELAWNEY,Your aura is pulsing,,,,,,
TRELAWNEY,Are you in the beyond?,,,,,,
TRELAWNEY,I think you are.,,,,,,
RON,Sure.,,,,,,
TRELAWNEY,Look at the cup.,,,,,,
TRELAWNEY,Tell me what you see.,,,,,,
RON,Yeah.,,,,,,
RON,Harry's got sort of a wonky cross.,,,,,,
RON,That's trials and suffering.,,,,,,
RON,And that there could be the sun and that's happiness.,,,,,,
RON,So you're gonna suffer,,,,,,
TRELAWNEY,Give me the cup.,,,,,,
TRELAWNEY,Oh,,,,,,
TRELAWNEY,My dear you have the Grim.,,,,,,
SEAMUS,The Grin? What's the Grin?,,,,,,
BEM,Not the Grin,,,,,,
BEM,Taking form of a giant spectral dog.,,,,,,
BEM,It's among the darkest omens in our world.,,,,,,
BEM,"It's an omen of death.""",,,,,,
RON,You don't think that Grim thing's got anything to do with Sirius Black?,,,,,,
HERMIONE,Oh, Ron. If you ask me, Divination's a woolly discipline.,,,,
HERMIONE,Now, that's a fascinating subject.,,,,,
RON,Ancient Runes? Exactly how many classes are you taking?,,,,,,
HERMIONE,A fair few.,,,,,,
RON,Hang on. That's not possible.,,,,,,
RON,Ancient Runes is in the same time as Divination.,,,,,,
RON,You have to be in two classes at once.,,,,,,
HERMIONE,Don't be silly. How could anyone be in two classes at once?,,,,,,
HERMIONE,Broaden your minds. Use your Inner Eye to see the future.,,,,,,
HAGRID,That's it. Come on,,,,,,
HAGRID,Less talking,,,,,,
HAGRID,I got a real treat for you today.,,,,,,
HAGRID,A great lesson. So follow me.,,,,,,
HAGRID,Right,,,,,,
HAGRID,Form a group over there.,,,,,,
HAGRID,And open your books to page 49.,,,,,,
DRACO,Exactly how do we do that?,,,,,,
HAGRID,Just stroke the spine,,,,,,
HAGRID,Goodness me.,,,,,,
DRACO,Don't be such a wimp,,,,,,
NEVILLE,I'm okay. Okay.,,,,,,
HERMIONE,I think they're funny.,,,,,,
DRACO,Oh,,,,,,
DRACO,Witty. God,,,,,,
DRACO,Wait until Father hears Dumbledore's got this oaf teaching classes.,,,,,,
HARRY,Shut up,,,,,,
DRACO,Dementor! Dementor!,,,,,,
HERMIONE,Just ignore him.,,,,,,
RON,You're supposed to stroke it.,,,,,,
NEVILLE,Yeah.,,,,,,
HERMIONE,Tah- tah- tah- dah! Isn't he beautiful?,,,,,,
HERMIONE,Say hello to Buckbeak.,,,,,,
RON,Hagrid,,,,,,
HAGRID,That, is a hippogriff.,,,,,
HAGRID,First thing you wanna know is they're very proud creatures.,,,,,,
HAGRID,Very easily offended.,,,,,,
HAGRID,You do not want to insult a hippogriff.,,,,,,
HAGRID,It may be the last thing you ever do.,,,,,,
HAGRID,Now,,,,,,
HAGRID,Well done,,,,,,
HAGRID,Come on now.,,,,,,
HAGRID,Now you have to let him make the first move. ,,,,,,
HAGRID,It's only polite. So step up. Give him a nice bow.,,,,,,
HAGRID,Then you wait and see if he bows back.,,,,,,
HAGRID,If he does,,,,,,
HAGRID,If not... Well,,,,,,
HAGRID,Just make your bow.,,,,,,
HAGRID,Nice and low.,,,,,,
HAGRID,Back off,,,,,,
HAGRID,Keep still. Keep still.,,,,,,
HAGRID,Well done,,,,,,
HAGRID,Here, you.,,,,,
HAGRID,Right. I think you can go and pat him now.,,,,,,
HAGRID,Go on. Don't be shy.,,,,,,
HAGRID,Nice and slow,,,,,,
HAGRID,Nice and slow. Slow.,,,,,,
HAGRID,Not so fast,,,,,,
HAGRID,Slow down,,,,,,
HAGRID,Nice and slow.,,,,,,
HAGRID,Now let him come to you.,,,,,,
HAGRID,Slowly, slowly, slowly...,,,,
HAGRID,That's it…Yes!,,,,,,
HAGRID,Well done! Well done,,,,,,
HAGRID,well done!,,,,,,
BEM,Does he get to fly?,,,,,,
HAGRID,I think he may let you ride him now.,,,,,,
HARRY,What?,,,,,,
HAGRID,Come on.,,,,,,
HARRY,Hey, hey!,,,,,
HAGRID,Put you over here,,,,,,
HAGRID,Don't pull out any of his feathers,,,,,,
HAGRID,Well done, and well done, Buckbeak.,,,,
HERMIONE,That was wicked,,,,,,
DRACO,Oh,,,,,,
HAGRID,Well done,,,,,,
HAGRID,How am I doing me first day?,,,,,,
HARRY,Brilliant,,,,,,
DRACO,You're not dangerous at all, you great ugly brute!,,,,,
HAGRID,Malfoy,,,,,,
HAGRID,No!,,,,,,
HAGRID,Buckbeak!,,,,,,
HAGRID,Whoa, whoa...,,,,,
HAGRID,Whoa! Buckbeak!,,,,,,
HAGRID,Away,,,,,,
DRACO,It's killed me!,,,,,,
HAGRID,Calm down. It's just a scratch!,,,,,,
HERMIONE,Hagrid! He has to be taken to the hospital.,,,,,,
HAGRID,I'm the teacher. I'll do it.,,,,,,
DRACO,You're gonna regret this.,,,,,,
HAGRID,Class dismissed!,,,,,,
DRACO,You and your bloody chicken!,,,,,,
PANSY PARKINSON,Does it hurt terribly,,,,,,
DRACO,It comes and it goes.,,,,,,
DRACO,Still,,,,,,
DRACO,Madam Pomfrey said another minute and I could've lost my arm.,,,,,,
DRACO,I can't do homework for weeks.,,,,,,
RON,Listen to the idiot.,,,,,,
RON,He's really laying it on thick,,,,,,
HARRY,At least Hagrid didn't get fired.,,,,,,
HERMIONE,I hear Draco's father's furious.,,,,,,
HERMIONE,We haven't heard the end of this.,,,,,,
SEAMUS,He's been sighted!,,,,,,
RON,Who?,,,,,,
SEAMUS,Sirius Black!,,,,,,
HERMIONE,Dufftown? That's not far from here.,,,,,,
NEVILLE,You don't think he'd come to Hogwarts,,,,,,
BOY,With dementors at every entrance?,,,,,,
SEAMUS,Dementors?,,,,,,
SEAMUS,He slipped past them once.,,,,,,
SEAMUS,Who's to say he won't do it again?,,,,,,
BEM,That's right. Black could be anywhere.,,,,,,
BEM,It's like trying to catch smoke.,,,,,,
BEM,Like trying to catch smoke with your bare hands.,,,,,,
LUPIN,Intriguing,,,,,,
LUPIN,Would anyone like to venture a guess as to what is inside?,,,,,,
DEAN,That's a boggart,,,,,,
LUPIN,Very good,,,,,,
LUPIN,Now,,,,,,
HERMIONE,No one knows.,,,,,,
RON,When did she get here?,,,,,,
HERMIONE,Boggarts are shape-shifters.,,,,,,
HERMIONE,They take the shape of whatever a person fears the most.,,,,,,
HERMIONE,That's what makes them so...,,,,,,
LUPIN,So terrifying, yes, yes...,,,,
LUPIN,Luckily,,,,,,
LUPIN,Let's practice it now.,,,,,,
LUPIN,Without wands,,,,,,
LUPIN,After me. Riddikulus!,,,,,,
CLASS,Riddikulus!,,,,,,
LUPIN,Very good.,,,,,,
LUPIN,A little louder and very clear.,,,,,,
LUPIN,Listen: Riddikulus!,,,,,,
CLASS,Riddikulus!,,,,,,
DRACO,This class is ridiculous.,,,,,,
LUPIN,Very good.,,,,,,
LUPIN,So much for the easy part. ,,,,,,
LUPIN,You see,,,,,,
LUPIN,What really finishes a boggart is laughter.,,,,,,
LUPIN,You need to force it to assume a shape you find truly amusing. ,,,,,,
LUPIN,Let me explain. Neville, please?,,,,,
LUPIN,Come on,,,,,,
LUPIN,Come on.,,,,,,
LUPIN,Hello. Neville,,,,,,
NEVILLE,Professor Snape.,,,,,,
LUPIN,Sorry?,,,,,,
NEVILLE,Professor Snape.,,,,,,
LUPIN,Professor Snape. Yes,,,,,,
LUPIN,You live with your grandmother.,,,,,,
NEVILLE,Yes. I don't want it to turn into her,,,,,,
LUPIN,No it won't. I want you to picture her clothes.,,,,,,
LUPIN,Only her clothes, in your mind.,,,,,
NEVILLE,She carries a red handbag...,,,,,,
LUPIN,We don't need to hear.,,,,,,
LUPIN,As long as you see it,,,,,,
LUPIN,Now,,,,,,
LUPIN,Imagine Professor Snape in your grandmother's clothes.,,,,,,
LUPIN,Can you do that?,,,,,,
LUPIN,Yes. Wand at the ready.,,,,,,
LUPIN,One, three.,,,,,
LUPIN,Think, think.,,,,,
NEVILLE,Riddikulus!,,,,,,
LUPIN,Wonderful, wonderful!,,,,,
LUPIN,Incredible! Okay to the back,,,,,,
LUPIN,Everyone,,,,,,
LUPIN,Form a line!,,,,,,
LUPIN,I want everyone to picture the thing they fear the very most and turn it into something funny.,,,,,,
LUPIN,Next! Ron!,,,,,,
LUPIN,Concentrate. Face your fear.,,,,,,
LUPIN,Be brave!,,,,,,
LUPIN,Wand at the ready,,,,,,
RON,Riddikulus!,,,,,,
LUPIN,Yes!,,,,,,
LUPIN,You see? Very good,,,,,,
LUPIN,Marvelous! Absolutely, very enjoyable! Parvati! Next!,,,,,
LUPIN,Show us what you see.,,,,,,
LUPIN,Keep your nerve. Steady.,,,,,,
PARVATI,Riddikulus!,,,,,,
LUPIN,And next! Step up,,,,,,
LUPIN,Wonderful,,,,,,
LUPIN,Riddikulus!,,,,,,
LUPIN,Right. Sorry about that.,,,,,,
LUPIN,That's enough for today.,,,,,,
LUPIN,Collect your books from the back.,,,,,,
LUPIN,That's the end of the lesson.,,,,,,
LUPIN,Thank you! Sorry!,,,,,,
LUPIN,Sorry,,,,,,
MCGONAGALL,Remember,,,,,,
MCGONAGALL,Should your behavior reflect poorly on the school that privilege shall not be extended again.,,,,,,
MCGONAGALL,No permission form signed,,,,,,
MCGONAGALL,That's the rule,,,,,,
FILCH,Those with permission,,,,,,
FILCH,Those without,,,,,,
HARRY,I thought if you signed it,,,,,,
MCGONAGALL,I can't. Only a parent or a guardian can sign.,,,,,,
MCGONAGALL,Since I am neither,,,,,,
MCGONAGALL,I'm sorry,,,,,,
MCGONAGALL,That's my final word.,,,,,,
HARRY,Forget about it,,,,,,
HARRY,Professor,,,,,,
LUPIN,You want to know why I stopped you facing that boggart,,,,,,
LUPIN,I thought it'd be obvious.,,,,,,
LUPIN,I assumed it would take the shape of Lord Voldemort.,,,,,,
HARRY,I did think of Voldemort at first.,,,,,,
HARRY,But then I remembered that night on the train and the dementor.,,,,,,
LUPIN,I'm very impressed.,,,,,,
LUPIN,That suggests what you fear the most is fear itself.,,,,,,
LUPIN,This is very wise.,,,,,,
HARRY,Before I fainted I heard something.,,,,,,
HARRY,A woman screaming.,,,,,,
LUPIN,Dementors force us to relive our very worst memories.,,,,,,
LUPIN,Our pain becomes their power.,,,,,,
HARRY,I think it was my mother the night she was murdered.,,,,,,
LUPIN,The very first time I saw you, I recognized you immediately.,,,,,
LUPIN,Not by your scar,,,,,,
LUPIN,They're your mother,,,,,,
LUPIN,Yes. Oh,,,,,,
LUPIN,Your mother was there for me at a time when no one else was.,,,,,,
LUPIN,Not only was she a singularly gifted witch she was also an uncommonly kind woman.,,,,,,
LUPIN,She had a way of seeing the beauty in others even, when that person could not see it in themselves.,,,,,
LUPIN,And your father, on the other hand he...,,,,,
LUPIN,He had a certain, talent for trouble.,,,,,
