Character,Sentence,,,,,
UNCLE VERNON,Now,,,,,
DUDLEY,Dad! What’s going on?,,,,,
GEORGE,Go, go, go!,,,
DUDLEY,Dad,,,,,
RON,Come on.,,,,,
FRED,Come on.,,,,,
RON,Come on,,,,,
UNCLE VERNON,Petunia,,,,,
HARRY,Ahh- ahh!,,,,,
RON,I’ve got you Harry!,,,,,
UNCLE VERNON,Come here!,,,,,
HARRY,Let go of me!,,,,,
UNCLE VERNON,Oh no,,,,,
HARRY,Get off!,,,,,
RON,Drive!,,,,,
FRED,Right.,,,,,
GEORGE ,Right!,,,,,
UNCLE VERNON ,No! No! No! No! Aaaah!,,,,,
AUNT PETUNIA & DUDLEY  ,Aaah!,,,,,
DUDLEY ,Dad!,,,,,
UNCLE VERNON ,Oh... Damn.,,,,,
RON ,By the way, Happy Birthday!,,,,
FRED ,Come on. Okay,,,,,
FRED ,Shh! Ok,,,,,
RON ,Do you think it’d be all right if we had some of this?,,,,,
GEORGE ,Yeah,,,,,
RON ,It’s not much,,,,,
HARRY ,I think it’s brilliant,,,,,
MRS. WEASLEY ,Where have you been? ,,,,,
MRS. WEASLEY ,Harry,,,,,
MRS. WEASLEY ,Beds empty! No note! Car gone!,,,,,
MRS. WEASLEY ,You could have died! You could have been seen! ,,,,,
MRS. WEASLEY ,Of course, Harry dear.,,,,
RON ,They were starving him,,,,,
RON ,There were bars on his window!,,,,,
MRS. WEASLEY ,Well, Ronald Weasley!  ,,,,
MRS. WEASLEY ,Come on Harry,,,,,
MRS. WEASLEY ,Here we are Harry. ,,,,,
MRS. WEASLEY ,Now tuck in! That’s it. There we go.,,,,,
GINNY ,Mum- Mummy,,,,,
MRS. WEASLEY ,Yes dear. It was on the cat.,,,,,
HARRY ,Hello. W-what did I do?,,,,,
RON ,Ginny. She’s been talking about you all summer.,,,,,
RON , A bit annoying really.,,,,,
MR. WEASLEY,Morning,,,,,
FRED,, RON  ;Morning, Dad.,,,
MRS. WEASLEY ,Morning Arthur!,,,,,
MR. WEASLEY,What a night. Nine raids. Nine!,,,,,
HARRY ,Raids?,,,,,
RON ,Dad works in the Ministry of Magic,,,,,
RON ,Dad loves Muggles,,,,,
MR. WEASLEY,Well now. Aah! And who are you?,,,,,
HARRY ,Oh, sir, Harry Potter.,,,
MR. WEASLEY,Good Lord! Are you really? ,,,,,
MR. WEASLEY,Well, of course.,,,,
MR. WEASLEY,When did he get here?,,,,,
MRS. WEASLEY ,This morning. Your sons flew that enchanted car of yours to Surrey and back last night.,,,,,
MR. WEASLEY,Did you really? How’d it go? Did you—,,,,,
FRED,, RON, HARRY  ;Oh, it...,,
MRS. WEASLEY ,Arthur!,,,,,
MR. WEASLEY,I mean...that was very wrong, boys. ,,,,
MR. WEASLEY,Very wrong of you,,,,,
MR. WEASLEY,Now, you must know all about Muggles. ,,,,
MR. WEASLEY,Tell me,,,,,
HARRY ,Oh,,,,,
MRS. WEASLEY ,Well,,,,,
MRS. WEASLEY ,Oh, please?,,,,
PERCY ,Errol...,,,,,
RON ,He’s always doing that.,,,,,
PERCY ,Oh look,,,,,
PERCY ,And they’ve sent us Harry’s as well.,,,,,
MR. WEASLEY,Dumbledore must know you’re here,,,,,
MR. WEASLEY,Doesn’t miss a trick,,,,,
MRS. WEASLEY ,Oh,,,,,
FRED ,This lot won’t come cheap,,,,,
FRED ,The spell books alone are very expensive.,,,,,
MRS. WEASLEY ,We’ll manage. ,,,,,
MRS. WEASLEY ,There’s only one place we’re going to get all of this. ,,,,,
MRS. WEASLEY ,Diagon Alley.,,,,,
MRS. WEASLEY ,Right.,,,,,
MRS. WEASLEY ,Here we are,,,,,
MRS. WEASLEY ,You go first,,,,,
RON,But Harry's never traveled by Floo powder before,,,,,
HARRY,Floo powder?,,,,,
MRS. WEASLEY ,You go first, so that Harry can see how it's done. Yes.,,,,
MRS. WEASLEY ,In you go.,,,,,
MRS. WEASLEY ,That's it.,,,,,
RON,Diagon Alley.,,,,,
MRS. WEASLEY ,You see? It's quite easy,,,,,
MRS. WEASLEY ,Don't be afraid. Come on.,,,,,
MRS. WEASLEY ,Come on.,,,,,
MRS. WEASLEY ,In you go. That's it.,,,,,
MRS. WEASLEY ,Mind your head.,,,,,
MRS. WEASLEY ,That's right.,,,,,
MRS. WEASLEY ,Now,,,,,
MRS. WEASLEY ,That's it,,,,,
MRS. WEASLEY ,Now, very clearly.,,,,
HARRY,Diagonally.,,,,,
MRS. WEASLEY ,What did he say,,,,,
MR. WEASLEY,Diagonally.,,,,,
MRS. WEASLEY ,I thought he did.,,,,,
MR. BORGIN,Mr. Malfoy! What a pleasure to see you again. ,,,,,
MR. BORGIN,If I may,,,,,
LUCIUS MALFOY,I'm not buying today,,,,,
LUCIUS MALFOY,But selling.,,,,,
MR. BORGIN, Selling?,,,,,
LUCIUS MALFOY,You have heard, that the Ministry of Magic is conducting more raids. ,,,,
LUCIUS MALFOY,There are even rumors of a new Muggle Protection Act...,,,,,
LUCIUS MALFOY,I have a few... ah... items at home that might prove embarrassing if the Ministry were to call.,,,,,
LUCIUS MALFOY,Certain poisons and the like...,,,,,
MR. BORGIN,Hmmm... yes. I see...,,,,,
DRACO,Can I have this?,,,,,
MR. BORGIN,Ah,,,,,
MR. BORGIN,Insert a candle and it gives light only to the holder. ,,,,,
MR. BORGIN,Best friend of thieves and plunderers. ,,,,,
MR. BORGIN,Your son has fine taste,,,,,
LUCIUS MALFOY, Hopefully my son will amount to more than a thief,,,,,
LUCIUS MALFOY,Though if his marks don't pick up --,,,,,
DRACO, It's not my fault the teachers have favorites. ,,,,,
DRACO,That Hermione Granger --,,,,,
LUCIUS MALFOY,I would have thought you'd be ashamed that a girl of no wizarding family beat you in every exam.,,,,,
MR. BORGIN,It's the same all over. ,,,,,
MR. BORGIN,Wizard blood is counting for less everywhere.,,,,,
LUCIUS MALFOY,Not with me.,,,,,
LUCIUS MALFOY ,Very good. ,,,,,
LUCIUS MALFOY ,I'll expect you at the manor tomorrow. ,,,,,
LUCIUS MALFOY ,Come,,,,,
WITCH,Not lost, my dear?,,,,
HARRY,I'm fine,,,,,
WITCH,Come with us. ,,,,,
WITCH,We'll help you find your way back.,,,,,
HARRY, No. Please...,,,,,
HAGRID, Harry?,,,,,
HARRY,Hagrid!,,,,,
HAGRID,What do you think you're doing down here? Come on.,,,,,
HAGRID,You're a mess,,,,,
HAGRID,Skulking around Knockturn Alley? ,,,,,
HAGRID,Dodgy place.,,,,,
HAGRID,Don't want no one to see you there.,,,,,
HAGRID,People will think you're up to no good.,,,,,
HARRY,I was lost,,,,,
HARRY,Hang on.,,,,,
HARRY,What were you doing down there then?,,,,,
HAGRID,Me? I was... ,,,,,
HAGRID,I was looking for Flesh-Eating Slug Repellent.,,,,,
HAGRID,They're ruining all the school cabbages.,,,,,
HERMIONE,Harry. Hagrid.,,,,,
HAGRID,Hello,,,,,
HERMIONE,It's so good to see you.,,,,,
HARRY,It's great to see you too.,,,,,
HERMIONE,What did you do to your glasses?,,,,,
HERMIONE,Oculus Reparo.,,,,,
HARRY,I definitely need to remember that one.,,,,,
HAGRID,You'll be all right now then,,,,,
HAGRID,Right. I'll leave you to it.,,,,,
HERMIONE,Okay,,,,,
HARRY,Thank you. Bye.,,,,,
HERMIONE,Come on,,,,,
MRS. WEASLEY ,Harry.,,,,,
MRS. WEASLEY ,Thank goodness.,,,,,
MRS. WEASLEY ,We'd hoped you'd only gone one grate too far.,,,,,
MAN,Ladies and gentlemen,,,,,
MRS. WEASLEY ,Ohh,,,,,
RON,Mum fancies him.,,,,,
PHOTOGRAPHER,Make way there,,,,,
PHOTOGRAPHER,Let me by,,,,,
PHOTOGRAPHER,Excuse me,,,,,
PHOTOGRAPHER,This is for the Daily Prophet.,,,,,
LOCKHART,It can't be. Harry Potter?,,,,,
PHOTOGRAPHER,Harry Potter!,,,,,
PHOTOGRAPHER,Excuse me,,,,,
LOCKHART,Nice big smile,,,,,
LOCKHART,Together,,,,,
LOCKHART,Ladies and gentlemen,,,,,
LOCKHART,When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography,,,,,
LOCKHART,which, is currently celebrating its 27th week atop the Daily Prophet bestseller list,,,,
LOCKHART,he had no idea that he would, be leaving with my entire collected works free of charge.,,,,
LOCKHART,Now,,,,,
MRS. WEASLEY ,Harry, and I'll get them signed.,,,,
MRS. WEASLEY ,All of you wait outside.,,,,,
MRS. WEASLEY ,That's it Ron.,,,,,
DRACO,I'll bet you loved that, Potter?,,,,
DRACO,Famous Harry Potter.,,,,,
DRACO,Can't go into a bookshop without making the front page.,,,,,
GINNY ,Leave him alone.,,,,,
DRACO,Look,,,,,
DRACO,You've got yourself a girlfriend.,,,,,
LUCIUS MALFOY,Now, Draco, play nicely.,,,
LUCIUS MALFOY,Mr. Potter.,,,,,
LUCIUS MALFOY,Lucius Malfoy. We meet at last.,,,,,
LUCIUS MALFOY,Forgive me.,,,,,
LUCIUS MALFOY,Your scar is legend.,,,,,
LUCIUS MALFOY,As, is the wizard who gave it to you.,,,,
HARRY,Voldemort killed my parents.,,,,,
HARRY,He was nothing more than a murderer.,,,,,
LUCIUS MALFOY,You must be very brave to mention his name.,,,,,
LUCIUS MALFOY,Or very foolish.,,,,,
HERMIONE,Fear of a name only increases fear of the thing itself.,,,,,
LUCIUS MALFOY,And you must be Miss Granger.,,,,,
LUCIUS MALFOY,Yes,,,,,
LUCIUS MALFOY,And your parents.,,,,,
LUCIUS MALFOY,Muggles,,,,,
LUCIUS MALFOY,Let me see.,,,,,
LUCIUS MALFOY,Red hair, secondhand book.,,,,
LUCIUS MALFOY,You must be the Weasleys.,,,,,
MR. WEASLEY,Children,,,,,
MR. WEASLEY,Let's go outside.,,,,,
LUCIUS MALFOY,Well, well. Weasley senior.,,,,
MR. WEASLEY,Lucius.,,,,,
LUCIUS MALFOY,Busy time at the Ministry, all those extra raids?,,,,
LUCIUS MALFOY,I do hope they're paying you overtime but judging by the state of this,,,,,
LUCIUS MALFOY,What's the use in being a disgrace to the name of wizard if they don't even pay you well for it?,,,,,
MR. WEASLEY,We have a very different idea about what disgraces the name of wizard,,,,,
LUCIUS MALFOY,Clearly.,,,,,
LUCIUS MALFOY,Associating with Muggles.,,,,,
LUCIUS MALFOY,And I thought your family could sink no lower.,,,,,
LUCIUS MALFOY,I'll see you at work.,,,,,
DRACO,See you at school.,,,,,
MR. WEASLEY,10:58,,,,,
MRS. WEASLEY,The train will be leaving any moment.,,,,,
MRS. WEASLEY,Oh dear! The train'll be leaving any moment! ,,,,,
MR. WEASLEY,Fred, Percy, you first.,,,
MRS. WEASLEY,Okay.,,,,,
MR. WEASLEY,After you,,,,,
MRS. WEASLEY,Come on, we'll get you a seat. Hurry.,,,,
HARRY,Let's go.,,,,,
TRAINMASTER,What do you two think you're doing?,,,,,
HARRY,Sorry.,,,,,
HARRY,Lost control of the trolley.,,,,,
HARRY,Why can't we get through?,,,,,
RON,I don't know.,,,,,
RON,The gateway has sealed itself for some reason.,,,,,
HARRY,The train leaves at exactly 11:00.,,,,,
HARRY,We've missed it.,,,,,
RON,Harry,,,,,
HARRY,Maybe we should just go and wait by the car.,,,,,
RON,The car.,,,,,
HARRY,Ron,,,,,
RON,Aaa,,,,,
RON,Oh,,,,,
HARRY,Come on,,,,,
HARRY,We need to find the train.,,,,,
RON,Okay.,,,,,
HARRY,All we need to do is catch up with the train.,,,,,
RON,We can't be far behind.,,,,,
HARRY,Do you hear that?,,,,,
RON,We must be getting close.,,,,,
HARRY,Hold on.,,,,,
HARRY AND RON,Aaaaaaahhhh!,,,,,
RON,Haaaarryyy!,,,,,
RON,Hold oonnn!!!,,,,,
RON,Take my hand!,,,,,
RON,Hold on!,,,,,
HARRY,I'm trying. Your hand's all sweaty.,,,,,
HARRY,I think we found the train.,,,,,
RON,Yeah.,,,,,
RON,Welcome home.,,,,,
HARRY,Up! Up!,,,,,
RON,It's not working!,,,,,
HARRY,Up! Ron,,,,,
HARRY AND RON,Aaahhh! Aaah!,,,,,
RON,Stop! Stop! Stop!,,,,,
RON,My wand. Look at my wand.,,,,,
HARRY,Be thankful it's not your neck.,,,,,
RON,What's happening?,,,,,
HARRY,I don't know.,,,,,
HARRY,Come on,,,,,
RON,Scabbers,,,,,
RON,The caaaar!,,,,,
RON,Dad's gonna kill me.,,,,,
HARRY,See you,,,,,
HARRY,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...,,,,,
HARRY,we almost get killed by a tree...,,,,,
HARRY,Clearly someone doesn't want me here this year.,,,,,
FILCH,Well, lads.,,,,
FILCH,This night might well be the last you spend in this castle.,,,,,
FILCH,Oh, we are in trouble.,,,,
SNAPE,You were seen by no less than seven Muggles.,,,,,
SNAPE,Do you have any idea how serious this is?,,,,,
SNAPE,You have risked the exposure of our world.,,,,,
SNAPE,Not to mention the damage you inflicted on a Whomping Willow.,,,,,
SNAPE,that's been on these grounds since before you were born.,,,,,
RON,Honestly, I think it did more damage to us.,,,,
SNAPE,Silence.,,,,,
SNAPE,I assure you that were you in Slytherin,,,,,
SNAPE,the both of you would be on the train home tonight.,,,,,
SNAPE,As it is...,,,,,
DUMBLEDORE,They are not.,,,,,
HARRY,Professor Dumbledore.,,,,,
HARRY,Professor McGonagall.,,,,,
SNAPE,Headmaster these boys have flouted the Decree for the Restriction of Underage Wizardry.,,,,,
FILCH,As such...,,,,,
DUMBLEDORE,I am well aware of our bylaws having written quite a few of them myself.,,,,,
DUMBLEDORE,However,,,,,
RON,We'll go and get our stuff,,,,,
MCGONAGALL,What are you talking about,,,,,
RON,You're going to expel us,,,,,
MCGONAGALL,Not today,,,,,
MCGONAGALL,I will be writing to your families tonight,,,,,
PROFESSOR SPROUT,Morning,,,,,
CLASS,Good morning,,,,,
PROFESSOR SPROUT,Good morning,,,,,
PROFESSOR SPROUT,Welcome to Greenhouse Three,,,,,
PROFESSOR SPROUT,Today,,,,,
PROFESSOR SPROUT,Now,,,,,
PROFESSOR SPROUT,Yes,,,,,
HERMIONE,Mandrake,,,,,
HERMIONE,It's also quite dangerous. ,,,,,
HERMIONE,The Mandrake's cry is fatal to anyone who hears it.,,,,,
PROFESSOR SPROUT,Excellent. Ten points to Gryffindor.,,,,,
PROFESSOR SPROUT,As our Mandrakes are still only seedlings their cries won't kill you yet.,,,,,
PROFESSOR SPROUT,But they could knock you out for hours,,,,,
PROFESSOR SPROUT,So could you please put them on,,,,,
PROFESSOR SPROUT,Flaps tight down,,,,,
PROFESSOR SPROUT,You grasp your Mandrake firmly.,,,,,
PROFESSOR SPROUT,You pull it sharply up out of the pot.,,,,,
PROFESSOR SPROUT,Got it? And now you dunk it down into the other pot,,,,,
PROFESSOR SPROUT,and pour a little sprinkling of soil to keep him warm.,,,,,
PROFESSOR SPROUT,Longbottom's been neglecting his earmuffs.,,,,,
SEAMUS,No, he's just fainted.,,,,
PROFESSOR SPROUT,Yes, just leave him there.,,,,
PROFESSOR SPROUT,Right,,,,,
PROFESSOR SPROUT,Plenty of pots to go around.,,,,,
PROFESSOR SPROUT,Grasp your Mandrake and pull it up.,,,,,
PENELOPE CLEARWATER,There's Nearly Headless Nick.,,,,,
PERCY ,Hello,,,,,
SIR NICHOLAS,Hello, Miss Clearwater.,,,,
RON,Say it. I'm doomed.,,,,,
HARRY,You're doomed.,,,,,
COLIN,Hi,,,,,
COLIN,I'm Colin Creevey. I'm in Gryffindor too.,,,,,
HARRY,Hi,,,,,
DEAN,Ron,,,,,
RON,Bloody bird's a menace.,,,,,
SEAMUS ,Heads up,,,,,
SEAMUS ,Weasley's gotten himself a Howler.,,,,,
NEVILLE,Go on,,,,,
NEVILLE,I ignored one from my gran once. ,,,,,
NEVILLE,It was horrible.,,,,,
MRS. WEASLEY,RONALD WEASLEY! ,,,,,
MRS. WEASLEY,HOW DARE YOU STEAL THAT CAR!,,,,,
MRS. WEASLEY,I AM ABSOLUTELY DISGUSTED! ,,,,,
MRS. WEASLEY,YOUR FATHER'S NOW FACING AN INQUIRY AT WORK AND IT'S ENTIRELY YOUR FAULT! ,,,,,
MRS. WEASLEY,IF YOU PUT ANOTHER TOE OUT OF LINE WE'LL BRING YOU STRAIGHT HOME!,,,,,
MRS. WEASLEY,And, dear, congratulations on making Gryffindor.,,,
MRS. WEASLEY,Your father and I are so proud.,,,,,
GILDEROY LOCKHART,Let me introduce you to your new Defense Against the Dark Arts Teacher. ,,,,,
GILDEROY LOCKHART,Me. Gilderoy Lockhart, Third Class, Honorary Member of the Dark Force Defense League and five times winner of Witch Weekly's Most-Charming-Smile Award  ,,,
GILDEROY LOCKHART,But I don't talk about that. ,,,,,
GILDEROY LOCKHART,I didn't get rid of the Bandon Banshee by smiling at her!,,,,,
GILDEROY LOCKHART,Now,,,,,
GILDEROY LOCKHART,It is my job to arm you against the foulest creatures known to wizardkind.,,,,,
GILDEROY LOCKHART,You may find yourselves facing your worst fears in this room.,,,,,
GILDEROY LOCKHART,Know only that no harm can befall you whilst I am here.,,,,,
GILDEROY LOCKHART,I must ask you not to scream.,,,,,
GILDEROY LOCKHART,It might provoke them.,,,,,
SEAMUS,Cornish pixies?,,,,,
GILDEROY LOCKHART,Freshly caught Cornish pixies.,,,,,
GILDEROY LOCKHART,Laugh if you will,,,,,
GILDEROY LOCKHART,Let's see what you make of them.,,,,,
GILDEROY LOCKHART,Come on now, round them up!,,,,
GILDEROY LOCKHART,They're only pixies.,,,,,
CORNISH PIXIES,You just stay there!,,,,,
NEVILLE,Please,,,,,
HERMIONE,Get off me!,,,,,
HARRY,Stop. Hold still!,,,,,
GILDEROY LOCKHART,Peskipiksi Pesternomi!,,,,,
GILDEROY LOCKHART,I'll ask you three to just nip the rest of them back into their cage.,,,,,
RON,What do we do now?,,,,,
HERMIONE,Immobulus!,,,,,
NEVILLE,Why is it always me?,,,,,
WOOD,I spent the summer devising a whole new Quidditch program.,,,,,
WOOD,We're gonna train earlier,,,,,
WOOD,What...? I don't believe it.,,,,,
WOOD,Where you think you're going,,,,,
FLINT,Quidditch practice.,,,,,
WOOD,I booked the pitch for Gryffindor today.,,,,,
FLINT,Easy,,,,,
RON,I smell trouble.,,,,,
WOOD,I, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.,,,
WOOD,You've got a new Seeker. Who?,,,,,
HARRY,Malfoy?,,,,,
DRACO,That's right.,,,,,
DRACO,And that's not all that's new this year.,,,,,
RON,Those are Nimbus 2001 s.,,,,,
RON,How did you get those?,,,,,
FLINT,A gift from Draco's father.,,,,,
DRACO,You see, unlike some, my father can afford the best.,,,
HERMIONE,At least no one on the Gryffindor team had to buy their way in.,,,,,
HERMIONE,They got in on pure talent.,,,,,
DRACO,No one asked your opinion,,,,,
RON,You'll pay for that one,,,,,
RON,Eat slugs!,,,,,
HERMIONE,You okay,,,,,
HERMIONE,Say something.,,,,,
COLIN,Wow! Can you turn him around,,,,,
HARRY,No, get out of the way.,,,,
HARRY,Let's take him to Hagrid's.,,,,,
HARRY,He'll know what to do.,,,,,
HAGRID,This calls for a specialist's equipment.,,,,,
HAGRID,Nothing to do but wait till it stops,,,,,
HAGRID,Okay.,,,,,
HAGRID,Better out than in.,,,,,
HAGRID,Who was Ron trying to curse,,,,,
HARRY,Malfoy. He called Hermione...,,,,,
HARRY,Well,,,,,
HERMIONE,He called me a Mudblood.,,,,,
HAGRID,He did not.,,,,,
HARRY,What's a Mudblood?,,,,,
HERMIONE,"It means ""dirty blood.",,,,,
HERMIONE,Mudblood's a foul name for someone who's Muggle-born.,,,,,
HERMIONE,Someone with non-magic parents.,,,,,
HERMIONE,Someone like me.,,,,,
HERMIONE,It's not a term one usually hears in civilized conversation.,,,,,
HAGRID,See, Harry, there are some wizards, like the Malfoy family...who think they're better than everyone else because they're pure-blood.,,
HARRY,That's horrible.,,,,,
RON,It's disgusting.,,,,,
HAGRID,And it's codswallop to boot.,,,,,
HAGRID,Dirty blood.,,,,,
HAGRID,Why,,,,,
HAGRID,More to the point,,,,,
HAGRID,Come here.,,,,,
HAGRID,Don't you think on it,,,,,
HAGRID,Don't you think on it for one minute.,,,,,
GILDEROY LOCKHART,Harry, Harry.,,,,
GILDEROY LOCKHART,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?,,,,,
HARRY,Not really.,,,,,
GILDEROY LOCKHART,Fame is a fickle friend,,,,,
GILDEROY LOCKHART,Celebrity is as celebrity does.,,,,,
GILDEROY LOCKHART,Remember that.,,,,,
VOICE,Come.,,,,,
VOICE,Come to me.,,,,,
HARRY,What?,,,,,
GILDEROY LOCKHART,Sorry?,,,,,
HARRY,That voice.,,,,,
GILDEROY LOCKHART,Voice?,,,,,
HARRY,Didn't you hear it?,,,,,
GILDEROY LOCKHART,What are you talking about,,,,,
GILDEROY LOCKHART,I think you're getting a bit drowsy.,,,,,
GILDEROY LOCKHART,And great Scott,,,,,
GILDEROY LOCKHART,Look at the time.,,,,,
GILDEROY LOCKHART,We've been here nearly four hours.,,,,,
GILDEROY LOCKHART,Spooky how the time flies when one is having fun.,,,,,
HARRY,Spooky.,,,,,
VOICE,Blood.,,,,,
VOICE,I smell blood.,,,,,
VOICE,Let me rip you.,,,,,
VOICE,Let me kill you.,,,,,
VOICE,Kill!,,,,,
VOICE,Kill!,,,,,
VOICE,Kill!,,,,,
HERMIONE,Harry!,,,,,
HARRY,Did you hear it?,,,,,
RON,Hear what?,,,,,
HARRY,That voice.,,,,,
HERMIONE,Voice? What voice?,,,,,
HARRY,I heard it first in Lockhart's office.,,,,,
HARRY,And then again just...,,,,,
VOICE,It's time.,,,,,
HARRY,It's moving.,,,,,
HARRY,I think it's going to kill.,,,,,
RON,Kill?,,,,,
HERMIONE,Harry,,,,,
HARRY,Strange.,,,,,
HARRY,I've never seen spiders act like that.,,,,,
RON,I don't like spiders.,,,,,
RON,What's that?,,,,,
HERMIONE,The Chamber of Secrets has been opened. ,,,,,
Enemies of the Heir,,,,,,
HERMIONE,Enemies of the Heir,,,,,
HERMIONE,It's written in blood.,,,,,
HARRY,Oh,,,,,
HARRY,It's Filch's cat.,,,,,
HARRY,It's Mrs. Norris.,,,,,
DRACO,Enemies of the Heir,,,,,
DRACO,You'll be next,,,,,
FILCH,What's going on here?,,,,,
