Petunia,It's all right,,,,,,,
Petunia,We'll get you out of these cold clothes.,,,,,,,
Vernon,What happened?,,,,,,,
Harry,I swear,,,,,,,
Harry,One minute the glass was there and then it was gone,,,,,,,
Vernon,There's no such thing as magic.,,,,,,,
Petunia,And smile!,,,,,,,
Petunia,Vernon,,,,,,,
Petunia,I can't believe it!,,,,,,,
Petunia,In just a week,,,,,,,
Vernon,Caveat Smeltonia.,,,,,,,
Vernon,Proudest moment of my life.,,,,,,,
Harry,Will I have to wear that too?,,,,,,,
Petunia,What? You? Go to Smeltings?,,,,,,,
Petunia,Don't be so stupid!,,,,,,,
Petunia,You're going to go to the state school.,,,,,,,
Petunia,Where you belong.,,,,,,,
Petunia,This is what you'll going to be wearing,,,,,,,
Harry,That's Dudley's old uniform.,,,,,,,
Harry,It'll fit me like bits of old elephant skin.,,,,,,,
Petunia,It'll fit you well enough.,,,,,,,
Petunia,Go get the post. Go!,,,,,,,
Vernon,Marge is ill. Ate a funny whelk.,,,,,,,
Dudley,Dad,,,,,,,
Harry,Hey,,,,,,,
Vernon,Yours? Who'd be writing to you?,,,,,,,
Vernon,No more mail through this letterbox.,,,,,,,
Petunia,Have a lovely day at the office,,,,,,,
Vernon,Shoo! Go on.,,,,,,,
Vernon,Fine day,,,,,,,
Vernon,In my opinion,,,,,,,
Vernon,Why is that,,,,,,,
Harry,Because there's no post on Sundays?,,,,,,,
Vernon,Right you are,,,,,,,
Vernon,No post on Sunday.,,,,,,,
Vernon,No blasted letters today! No,,,,,,,
Vernon,Not one single bloody letter. Not one!,,,,,,,
Vernon,No, not one blasted, miserable...,,,,,
Dudley,Stop it!,,,,,,,
Dudley,Mummy,,,,,,,
Vernon,Give me that!,,,,,,,
Vernon,Give me that letter!,,,,,,,
Harry,Get off!,,,,,,,
Harry,They're my letters!,,,,,,,
Harry,Let go of me!,,,,,,,
Vernon,That's it!,,,,,,,
Vernon,We're going away!,,,,,,,
Vernon,Far away,,,,,,,
Dudley,Daddy's gone mad,,,,,,,
Harry,Make a wish,,,,,,,
Vernon,Who's there?,,,,,,,
Hagrid,Sorry about that.,,,,,,,
Vernon,I demand that you leave at once,,,,,,,
Vernon,You are breaking and entering!,,,,,,,
Hagrid,Dry up, you great prune.,,,,,,
Hagrid,Mind, Harry.,,,,,,
Hagrid,But you're a bit more along than I would have expected.,,,,,,,
Hagrid,Particularly 'round the middle.,,,,,,,
Dudley,I'm not Harry.,,,,,,,
Harry,I am.,,,,,,,
Hagrid,Well,,,,,,,
Hagrid,Got something for you.,,,,,,,
Hagrid,Afraid I might have sat on it at somepoint,,,,,,,
Hagrid,Baked it myself,,,,,,,
Harry,Thank you.,,,,,,,
Hagrid,It's not every day that your young man turns 11,,,,,,,
Harry,Excuse me,,,,,,,
Hagrid,Rubeus Hagrid,,,,,,,
Hagrid,Of course,,,,,,,
Harry,Sorry,,,,,,,
Hagrid,No? Blimey, didn't you ever wonder where your mum and dad learned it all?,,,,,,
Harry,Learnt what?,,,,,,,
Hagrid,You're a wizard,,,,,,,
Harry,I'm a what?,,,,,,,
Hagrid,A wizard.,,,,,,,
Hagrid,And a thumping good one, once you're trained up little.,,,,,,
Harry,No,,,,,,,
Harry,I mean...l can't be a wizard.,,,,,,,
Harry,I mean,,,,,,,
Harry,Just Harry.,,,,,,,
Hagrid,Well, did you ever make anything happen?,,,,,,
Hagrid,Anything you couldn't explain,,,,,,,
Harry,Dear Mr. Potter,,,,,,,
Harry,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""",,,,,,,
Vernon,He will not be going there!,,,,,,,
Vernon,We swore when we took him in we'd put a stop to all this rubbish.,,,,,,,
Harry,You knew? ,,,,,,,
Harry,You knew all along and you never told me?,,,,,,,
Petunia,Of course we knew.,,,,,,,
Petunia,How could you not be?,,,,,,,
Petunia,My perfect sister being who she was.,,,,,,,
Petunia,My mother and father were so proud the day she got her letter.,,,,,,,
Petunia,We have a witch in the family.,,,,,,,
Petunia,"Isn't it wonderful?""",,,,,,,
Petunia,I was the only one to see her for what she was.,,,,,,,
Petunia,A freak!,,,,,,,
Petunia,Then she met that Potter,,,,,,,
Petunia,and I knew you would be the same.,,,,,,,
Petunia,Just as strange,,,,,,,
Petunia,And then, she went and got herself blown up!,,,,,,
Petunia,And we got landed with you.,,,,,,,
Harry,Blown up?,,,,,,,
Harry,You told me my parents died in a car crash.,,,,,,,
Hagrid,A car crash? ,,,,,,,
Hagrid,A car crash killed Lily and James Potter?,,,,,,,
Petunia,We had to say something.,,,,,,,
Hagrid,It's an outrage!,,,,,,,
Hagrid,It's a scandal!,,,,,,,
Vernon,He'll not be going.,,,,,,,
Hagrid,Oh, are you?,,,,,,
Harry,Muggle?,,,,,,,
Hagrid,Non-magic folk.,,,,,,,
Hagrid,This boy's had his name down ever since he were born.,,,,,,,
Hagrid,He's going to the finest school of witchcraft and wizardry in the world and...,,,,,,,
Hagrid,he'll be under the finest headmaster that Hogwarts has ever seen,,,,,,,
Vernon,I will not pay to have some crackpot old fool teach him magic tricks.,,,,,,,
Hagrid,Never insult Albus Dumbledore in front of me.,,,,,,,
Hagrid,Oh, I'd appreciate it if you didn't tell anyone at Hogwarts about that.,,,,,,
Hagrid,Strickly speaking,,,,,,,
Harry,Okay.,,,,,,,
Hagrid,Ooh,,,,,,,
Hagrid,Best be off.,,,,,,,
Hagrid,Unless you'd rather stay,,,,,,,
Harry,First year's students will require three sets of plain work robes one wand.,,,,,,,
Hagrid,Essential bit of equipment,,,,,,,
Harry,One pair of dragon hide gloves.,,,,,,,
Harry,Hagrid,,,,,,,
Hagrid,They don't mean a penguin,,,,,,,
Hagrid,Crikey. I'd love a dragon.,,,,,,,
Harry,You'd like a dragon?,,,,,,,
Hagrid,Vastly misunderstood beasts,,,,,,,
Hagrid,Vastly misunderstood.,,,,,,,
Harry,All students must be equipped with one standard size 2 pewter cauldron and may bring,,,,,,,
 either an owl,,,,,,,,
Harry,Can we find all this in London?,,,,,,,
Hagrid,If you know where to go.,,,,,,,
Barkeep Tom,Ah, I presume?,,,,,,
Hagrid,No, Tom.,,,,,,
Hagrid,I'm on official Hogwarts business.,,,,,,,
Hagrid,Just helping young Harry here buy his school supplies.,,,,,,,
Barkeep Tom,Bless my soul.,,,,,,,
Barkeep Tom,It's Harry Potter!,,,,,,,
Man,Welcome back,,,,,,,
Man,Welcome back.,,,,,,,
Witch,Doris Crockford,,,,,,,
Witch,I can't believe I'm meeting you at last.,,,,,,,
Quirrell,Harry Potter. Can't tell you how pleased I am to meet you.,,,,,,,
Hagrid,Hello,,,,,,,
Hagrid,Harry,,,,,,,
Hagrid,He will be your Defense Against the Dark Arts teacher at Hogwarts,,,,,,,
Harry,Oh,,,,,,,
Quirrell,Fearfully fascinating subject.,,,,,,,
Quirrell,Not that you need it, Potter?,,,,,,
Hagrid,Yes, must be going now.,,,,,,
Hagrid,Lots to buy.,,,,,,,
Harry,Goodbye.,,,,,,,
Hagrid,See,,,,,,,
Harry,But why am I famous,,,,,,,
Harry,All those people back there,,,,,,,
Hagrid,I'm not sure I'm exactly the right person to tell you that,,,,,,,
Hagrid,Welcome, to Diagon Alley.,,,,,,
Hagrid,Here's where you'll get your quills and your ink.,,,,,,,
Hagrid,And over there,,,,,,,
Boy,It's a world-class racing broom.,,,,,,,
Boy,Look at it! The new Nimbus 2000!,,,,,,,
Boy,It's the fastest model yet.,,,,,,,
Harry,But, how am I to pay for all this?,,,,,,
Harry,I haven't any money.,,,,,,,
Hagrid,Well there's your money,,,,,,,
Hagrid,Gringotts,,,,,,,
Hagrid,Ain't no safer place,,,,,,,
Hagrid,Except perhaps Hogwarts.,,,,,,,
Harry,Hagrid,,,,,,,
Hagrid,They're goblins,,,,,,,
Hagrid,Clever as they come goblins but not the most friendly of beasts.,,,,,,,
Hagrid,Best stay close.,,,,,,,
Hagrid,Mr. Harry Potter wishes to make a withdrawal.,,,,,,,
Goblin,And does Mr. Harry Potter have his key?,,,,,,,
Hagrid,Oh,,,,,,,
Hagrid,Got it here somewhere.,,,,,,,
Hagrid,Ha! Here's the little devil.,,,,,,,
Hagrid,Oh,,,,,,,
Hagrid,Professor Dumbledore gave me this.,,,,,,,
Hagrid,It's about You-Know-What in vault you-know-which.,,,,,,,
Goblin,Very well.,,,,,,,
Griphook,Vault 687.,,,,,,,
Griphook,Lamp,,,,,,,
Griphook,Key,,,,,,,
Hagrid,Didn't think your mum and dad will leave you with nothing,,,,,,,
Griphook,Vault 713.,,,,,,,
Harry,What's in there,,,,,,,
Hagrid,Can't tell you,,,,,,,
Hagrid,Hogwarts business. Very secret.,,,,,,,
Griphook,Stand back.,,,,,,,
Hagrid,Best not to mention this to anyone,,,,,,,
Harry,I still need... a wand.,,,,,,,
Hagrid,A wand? Well,,,,,,,
Hagrid,There ain't no place better.,,,,,,,
Hagrid,Why don't you run along there and wait.,,,,,,,
Hagrid, I just got one more thing I gotta do.,,,,,,,
Hagrid, Won't be long.,,,,,,,
Harry,Hello?,,,,,,,
Harry,Hello?,,,,,,,
Ollivander,I wondered when I'd be seeing you,,,,,,,
Ollivander,It seems only yesterday that your mother and father were in here buying their first wands.,,,,,,,
Ollivander,Here we are.,,,,,,,
Ollivander,Give it a wave.,,,,,,,
Ollivander,Apparently not.,,,,,,,
Ollivander,Perhaps… this,,,,,,,
Ollivander,No, definitely not.,,,,,,
Ollivander,No matter.,,,,,,,
Ollivander,I wonder.. Curious.,,,,,,,
Ollivander,Very curious.,,,,,,,
Harry,Sorry,,,,,,,
Ollivander,I remember every wand I've ever sold,,,,,,,
Ollivander,It so happens that the phoenix whose tail feather resides in your wand,,,,,,,
Ollivander,Just one other.,,,,,,,
Ollivander,It is curious that you should be destined for this wand when its brother gave you that scar. ,,,,,,,
Harry,And who owned that wand?,,,,,,,
Ollivander,We do not speak his name.,,,,,,,
Ollivander,The wand chooses the wizard,,,,,,,
Ollivander,It's not always clear why.,,,,,,,
Ollivander,But I think it is clear that we can expect great things from you.,,,,,,,
Ollivander,After all,,,,,,,
Ollivander,Terrible yes,,,,,,,
Hagrid,Harry! Harry!,,,,,,,
Hagrid,Happy birthday.,,,,,,,
Hagrid,You all right,,,,,,,
Hagrid,You seem very quiet.,,,,,,,
Harry,He killed my parents,,,,,,,
Harry,The one who gave me this.,,,,,,,
Harry,You know,,,,,,,
Harry,I know you do.,,,,,,,
Hagrid,First,,,,,,,
Hagrid,Not all wizards are good.,,,,,,,
Hagrid,Some of them go bad.,,,,,,,
Hagrid,A few years ago there was a one wizard who went as bad as he can go.,,,,,,,
Hagrid, His name was V...,,,,,,,
Hagrid,His name was V...,,,,,,,
Harry,Maybe if you wrote it down?,,,,,,,
Hagrid,No,,,,,,,
Hagrid,All right,,,,,,,
Harry,Voldemort?,,,,,,,
Hagrid,It was dark times,,,,,,,
Hagrid,Voldemort started to gather some followers.,,,,,,,
Hagrid,Brought them over to the Dark Side.,,,,,,,
Hagrid,Anyone that stood up to him ended up dead.,,,,,,,
Hagrid,Your parents fought against him.,,,,,,,
Hagrid,But nobody lived once he decided to kill them.,,,,,,,
Hagrid,Nobody,,,,,,,
Hagrid,Except you.,,,,,,,
Harry,Me? Voldemort tried to kill me?,,,,,,,
Hagrid,Yes. That ain't no ordinary cut on your forehead,,,,,,,
Hagrid,A mark like that only comes from being touched by a curse,,,,,,,
Harry,What happened to V...?,,,,,,,
Harry,To You-Know-Who?,,,,,,,
Hagrid,Well,,,,,,,
Hagrid,Codswallop,,,,,,,
Hagrid,Nope,,,,,,,
Hagrid,But one thing's absolutely certain. ,,,,,,,
Hagrid,Something about you stumped him that night.,,,,,,,
Hagrid,That's why you're famous.,,,,,,,
Hagrid,That's why everybody knows your name.,,,,,,,
Hagrid,You're the boy who lived.,,,,,,,
Hagrid,What are you looking at?,,,,,,,
Hagrid,Blimey,,,,,,,
Hagrid,Sorry, I'm gonna have to leave you.,,,,,,
Hagrid,Dumbledore will be wanting his...,,,,,,,
Hagrid,Well,,,,,,,
Hagrid,Now, your train leaves in 10 minutes.,,,,,,
Hagrid,Here's your ticket. ,,,,,,,
Hagrid,Stick to it,,,,,,,
Hagrid,Stick to your ticket.,,,,,,,
Harry,Platform 9 3/4?,,,,,,,
Harry,But, there must be a mistake.,,,,,,
Harry,This says platform 9 3/4.,,,,,,,
Harry,There's no such thing,,,,,,,
Man,Sorry.,,,,,,,
Harry,Excuse me. Excuse me.,,,,,,,
Trainmaster,Right on your left Madam.,,,,,,,
Harry,Excuse me Sir,,,,,,,
Trainmaster,9 3/4? Think you're being funny,,,,,,,
Mrs. Weasley,It's the same every year, Of course. ,,,,,,
Mrs. Weasley,Come on!,,,,,,,
Harry,Muggles?,,,,,,,
Mrs. Weasley,Platform 9 3/4,,,,,,,
Mrs. Weasley,All right, you first.,,,,,,
Mrs. Weasley,Fred,,,,,,,
George,He's not Fred,,,,,,,
Fred,Honestly, you call yourself our mother?,,,,,,
Mrs. Weasley,Oh, George.,,,,,,
Fred,I'm only joking. I am Fred.,,,,,,,
Harry,Excuse me.,,,,,,,
Harry,Could you tell me how to...?,,,,,,,
Mrs. Weasley,How to get onto the platform?,,,,,,,
Mrs. Weasley,Not to worry,,,,,,,
Mrs. Weasley,It's Ron's first time to Hogwarts as well.,,,,,,,
Mrs. Weasley,All you've got do is walk straight at the wall between platforms 9 and 10.,,,,,,,
Mrs. Weasley,Best do it at a bit of a run if you're nervous.,,,,,,,
Ginny,Good luck.,,,,,,,
Ron,Excuse me. Do you mind?,,,,,,,
Ron,Everywhere else is full.,,,,,,,
Harry,No. Not at all.,,,,,,,
Ron,I'm Ron,,,,,,,
Ron,Ron Weasley.,,,,,,,
Harry,I'm Harry. Harry Potter.,,,,,,,
Ron,So it's true!,,,,,,,
Ron,I mean,,,,,,,
Harry,The what?,,,,,,,
Ron,The scar?,,,,,,,
Ron,Wicked!,,,,,,,
Woman,Anything off the trolley,,,,,,,
Ron,No,,,,,,,
Harry,We'll take the lot.,,,,,,,
Harry,Bertie Bott's Every Flavor Beans?,,,,,,,
Ron,They mean every flavor.,,,,,,,
Ron,There's chocolate and peppermint and there's also spinach,,,,,,,
Ron,George sweared he got a bogey-flavoured one once!,,,,,,,
Harry,These aren't real frogs,,,,,,,
Ron,It's just a spell.,,,,,,,
Ron,Besides,,,,,,,
Ron,Each pack's got a famous witch or wizard.,,,,,,,
Ron,I've got about 500 myself.,,,,,,,
Ron,Watch it!,,,,,,,
Ron,Oh,,,,,,,
Ron,They've only got one good jump in them to begin with.,,,,,,,
Harry,I've got Dumbledore!,,,,,,,
Ron,I got about six of him.,,,,,,,
Harry,Hey,,,,,,,
Ron,Well, can you?,,,,,,
Ron,This is Scabbers,,,,,,,
Ron,Pathetic,,,,,,,
Harry,Just a little bit.,,,,,,,
Ron,Fred gave me a spell as to turn him yellow.,,,,,,,
Ron,Want to see?,,,,,,,
Harry,Yeah.,,,,,,,
Hermione,Has anyone seen a toad?,,,,,,,
Hermione,A boy named Neville's lost one,,,,,,,
Ron,No.,,,,,,,
Hermione,Oh,,,,,,,
Hermione,Let's see,,,,,,,
Ron,Sunshine, butter mellow.,,,,,,
Ron,Turn this stupid fat rat yellow.,,,,,,,
Hermione,Are you sure that's a real spell?,,,,,,,
Hermione,Well, is it?,,,,,,
Hermione,Of course,,,,,,,
Hermione,For example:,,,,,,,
Hermione,Oculus Reparo.,,,,,,,
Hermione,That's better,,,,,,,
Hermione,Holy cricket,,,,,,,
Hermione,I'm Hermione Granger.,,,,,,,
Hermione,And you are...?,,,,,,,
Ron,I'm Ron Weasley.,,,,,,,
Hermione,Pleasure.,,,,,,,
Hermione,You two better change into robes.,,,,,,,
Hermione,I expect we'll be arriving soon.,,,,,,,
Hermione,You've got dirt on your nose,,,,,,,
Hermione,Did you know?,,,,,,,
Hermione,Just there.,,,,,,,
Hagrid,Right,,,,,,,
Hagrid,First years, please!,,,,,,
Hagrid,Come on, first years, don't be shy.,,,,,
Hagrid,Come on now,,,,,,,
Hagrid,Hello,,,,,,,
Harry,Hey,,,,,,,
Hagrid,Right,,,,,,,
Hagrid,Come on, follow me.,,,,,,
Ron,Wicked.,,,,,,,
McGonagall,Welcome to Hogwarts.,,,,,,,
McGonagall,Now, you'll pass through these doors and join your classmates.,,,,,,
McGonagall,But before you can take your seats,,,,,,,
McGonagall,They are Gryffindor,,,,,,,
McGonagall,Now, your house will be like your family.,,,,,,
McGonagall,Your triumphs will earn you points.,,,,,,,
McGonagall,Any rule-breaking,,,,,,,
McGonagall,At the end of the year,,,,,,,
Neville,Trevor! Sorry.,,,,,,,
McGonagall,The Sorting Ceremony will begin momentarily.,,,,,,,
Malfoy,It's true then,,,,,,,
Malfoy,Harry Potter has come to Hogwarts.,,,,,,,
Whispers,Harry Potter?,,,,,,,
Malfoy,This is Crabbe,,,,,,,
Malfoy,And I'm Malfoy.,,,,,,,
Malfoy,Draco Malfoy.,,,,,,,
Malfoy,Think my name's funny,,,,,,,
Malfoy,I've no need to ask yours.,,,,,,,
Malfoy,Red hair and a hand-me-down robe?,,,,,,,
Malfoy,You must be a Weasley.,,,,,,,
Malfoy,We'll soon find out that some wizarding families are better than others,,,,,,,
Malfoy,You don't want to go making friends with the wrong sort.,,,,,,,
Malfoy,I can help you there.,,,,,,,
Harry,I think I can tell the wrong sort for myself,,,,,,,
McGonagall,We're ready for you now.,,,,,,,
McGonagall,Follow me.,,,,,,,
Hermione,It's not real,,,,,,,
Hermione,It's just bewitched to look like the night sky.,,,,,,,
Hermione,I read about it in Hogwarts: A History.,,,,,,,
McGonagall,All right, please?,,,,,,
McGonagall,Now,,,,,,,
Dumbledore,I have a few start-of-term notices I wish to announce.,,,,,,,
Dumbledore,The first years,,,,,,,
Dumbledore,Also, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death.,,,,,
Dumbledore,Thank you.,,,,,,,
McGonagall,When I call your name,,,,,,,
McGonagall,I shall place the Sorting Hat on your head and you will be sorted into your houses.,,,,,,,
McGonagall,Hermione Granger.,,,,,,,
Hermione,Oh, relax.,,,,,,
Ron,Mental, I'm telling you.,,,,,,
Sorting Hat,Ah,,,,,,,
Sorting Hat,Okay. Gryffindor!,,,,,,,
McGonagall,Draco Malfoy.,,,,,,,
Sorting Hat,Slytherin!,,,,,,,
Ron,There isn't a witch or wizard who went bad who wasn't in Slytherin.,,,,,,,
McGonagall,Susan Bones.,,,,,,,
Ron,Harry,,,,,,,
Harry,Nothing. Nothing,,,,,,,
Sorting Hat,Let's see I know! Hufflepuff!,,,,,,,
McGonagall,Ronald Weasley.,,,,,,,
Sorting Hat,Another Weasley!,,,,,,,
Sorting Hat,I know just what to do with you.,,,,,,,
Sorting Hat,Gryffindor!,,,,,,,
McGonagall,Harry Potter.,,,,,,,
Sorting Hat,Hmm... difficult,,,,,,,
Sorting Hat,Plenty of courage,,,,,,,
Sorting Hat,Not a bad mind,,,,,,,
Sorting Hat,There's talent, yes.,,,,,,
Sorting Hat,And a thirst to prove yourself.,,,,,,,
Sorting Hat,But where to put you?,,,,,,,
Harry,Not Slytherin,,,,,,,
Sorting Hat,Not Slytherin,,,,,,,
Sorting Hat,You could be great,,,,,,,
Sorting Hat,It's all here,,,,,,,
Sorting Hat,And Slytherin will help you on the way to greatnesses,,,,,,,
Sorting Hat,No? Well,,,,,,,
Sorting Hat,Better be...Gryffindor!,,,,,,,
McGonagall,Your attention,,,,,,,
Dumbledore,Let the feast begin.,,,,,,,
Seamus,I'm half and half.,,,,,,,
Seamus,My dad's a Muggle. Mum's a witch.,,,,,,,
Seamus,Bit of a nasty shock for him when he found out.,,,,,,,
Harry,Say, who's that teacher talking to Professor Quirrell?,,,,,,
Percy,Oh, head of Slytherin house.,,,,,,
Harry,What's he teach?,,,,,,,
Percy,Potions.,,,,,,,
Percy,But everyone knows,,,,,,,
Percy,He's been after Quirrell's job for years.,,,,,,,
Sir Nicholas,Hello! How are you?,,,,,,,
Sir Nicholas,Welcome to Gryffindor.,,,,,,,
Girl,Look,,,,,,,
Percy,Hello,,,,,,,
Percy,Have a nice summer?,,,,,,,
Sir Nicholas,Dismal. Once again,,,,,,,
Ron,I know you.,,,,,,,
Ron,You're Nearly Headless Nick.,,,,,,,
Sir Nicholas,I prefer Sir Nicholas,,,,,,,
Hermione,Nearly headless?,,,,,,,
Hermione,How can you be nearly headless?,,,,,,,
Sir Nicholas,Like this.,,,,,,,
Percy,Gryffindors,,,,,,,
Percy,Keep up. Thank you.,,,,,,,
Boy,Ravenclaw,,,,,,,
Percy,This is the most direct path to the dormitories.,,,,,,,
Percy,Oh,,,,,,,
Percy,They like to change.,,,,,,,
Percy,Keep up, and follow me.,,,,,,
Percy,Quickly now,,,,,,,
Neville,That picture's moving.,,,,,,,
Ron,Look at that one.,,,,,,,
Harry,I think she fancies you.,,,,,,,
Girl,Oh,,,,,,,
Girl,Who's that girl?,,,,,,,
Man in paint,Welcome to Hogwarts.,,,,,,,
Fat Lady,Password?,,,,,,,
Percy,Caput Draconis.,,,,,,,
Percy,Follow me,,,,,,,
Percy,Quickly,,,,,,,
Percy,Gather around here.,,,,,,,
Percy,Welcome to the Gryffindor common room.,,,,,,,
Percy,Boys' dormitory is upstairs and down to your left.,,,,,,,
Percy,Girls,,,,,,,
Percy,You'll find that your belongings have already been brought up.,,,,,,,
Ron,Made it!,,,,,,,
Ron,Can you imagine the look on old McGonagall's face if we were late?,,,,,,,
Ron,That was bloody brilliant!,,,,,,,
McGonagall,Thank you for that assessment,,,,,,,
McGonagall,Perhaps,,,,,,,
McGonagall,That way,,,,,,,
Harry,We got lost.,,,,,,,
McGonagall,Then perhaps a map?,,,,,,,
McGonagall,I trust you don't need one to find your seats.,,,,,,,
Snape,There will be no foolish wand-waving or silly incantations in this class.,,,,,,,
Snape,As such,,,,,,,
Snape,However,,,,,,,
Snape,I can tell you how to bottle fame brew glory and even put a stopper in death.,,,,,,,
Snape,Then again,,,,,,,
Snape,Mr. Potter.,,,,,,,
Snape,Our new celebrity.,,,,,,,
Snape,Tell me,,,,,,,
Snape,You don't know? Well,,,,,,,
Snape,Where, would you look if I asked you to find me a bezoar?,,,,,,
Harry,I don't know,,,,,,,
Snape,And what is the difference between monkshood and wolfsbane?,,,,,,,
Harry,I don't know,,,,,,,
Snape,Pity.,,,,,,,
Snape,Clearly, Mr. Potter?,,,,,,
Harry,Clearly,,,,,,,
Harry,Seems a pity not to ask her.,,,,,,,
Snape,Silence.,,,,,,,
Snape,Put your hand down,,,,,,,
Snape,For your information,,,,,,,
Snape,Asphodel and wormwood make a sleeping potion so powerful it is known as the Draught of the Living Dead.,,,,,,,
Snape,A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons.,,,,,,,
Snape,As for monkshood and wolfsbane, which also goes by the name of aconite.,,,,,,
Snape,Well...,,,,,,,
Snape,Why aren't you all copying this down?,,,,,,,
Snape,And Gryffindors note that five points will be taken from your house for your classmate's cheek.,,,,,,,
Seamus,Eye of rabbit,,,,,,,
Seamus,Turn this water into rum.,,,,,,,
Seamus,Eye of rabbit...,,,,,,,
Harry,What's Seamus trying to do to that glass of water?,,,,,,,
Ron,Turn it into rum. ,,,,,,,
Ron,Actually managed a weak tea yesterday,,,,,,,
Ron,Mail's here.,,,,,,,
Harry,Can I borrow this? Thanks.,,,,,,,
Dean,Hey,,,,,,,
Hermione,I've read about those.,,,,,,,
Hermione,When the smoke turns red,,,,,,,
Neville,The only problem is,,,,,,,
Harry,Hey Ron! Somebody broke into Gringotts.,,,,,,,
Harry,Listen.,,,,,,,
Harry,Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach,,,,,,,
,, had, in fact," been emptied earlier that very same day.""""""",,,,
Harry,That's odd. ,,,,,,,
Harry,That's the vault Hagrid and I went to.,,,,,,,
Madam Hooch,Good afternoon,,,,,,,
Class,Good afternoon,,,,,,,
Madam Hooch,Good afternoon,,,,,,,
Madam Hooch,Good afternoon.,,,,,,,
Madam Hooch,Welcome to your first flying lesson.,,,,,,,
Madam Hooch,Well,,,,,,,
Madam Hooch,Everyone step up to the left side of their broomstick.,,,,,,,
